"außer Frage stehen","جای تردید نداشتن","to be beyond question","Es steht außer Frage, dass neue Technologien wichtig sind.","جای هیچ تردیدی نیست که فناوری‌های جدید مهم هستند.","Neutral","außer + D","die","Fragen","hat außer Frage gestanden","stand außer Frage","(zweifellos) richtig sein, etwas nicht bezweifeln"
"eine Frage stellen","سوال پرسیدن","to ask a question","Bleiben Sie neugierig und stellen Sie viele Fragen.","کنجکاو بمانید و سوالات زیادی بپرسید.","Neutral","","die","Fragen","hat eine Frage gestellt","stellte eine Frage","fragen"
"in Frage stellen","زیر سوال بردن","to question","Viele Mitarbeitenden stellen die Strategie in Frage.","بسیاری از کارکنان استراتژی را زیر سوال می‌برند.","Neutral","in","die","Fragen","hat in Frage gestellt","stellte in Frage","bezweifeln, anzweifeln"
"sich Gedanken machen über (+ Akk.)","فکر کردن در مورد","to think/worry about","Ich mache mir viele Gedanken über das Thema.","من خیلی در مورد این موضوع فکر می‌کنم.","Neutral","über + A","der","Gedanken","hat sich Gedanken gemacht","machte sich Gedanken","nachdenken"
"in Gefahr sein","در خطر بودن","to be in danger","Die Realisierung des Projekts ist in Gefahr.","اجرای پروژه در خطر است.","Neutral","in","die","Gefahren","ist in Gefahr gewesen","war in Gefahr","gefährdet sein"
"ein Gespräch führen","گفتگو کردن","to have a conversation","Wir haben ein interessantes Gespräch mit Kollegen über das Projekt geführt.","ما گفتگوی جالبی با همکاران درباره پروژه داشتیم.","Neutral","-","das","Gespräche","hat ein Gespräch geführt","führte ein Gespräch","sich unterhalten"
"den Grund angeben","دلیل آوردن/ذکر کردن","to state the reason","Für diese Entscheidung wurden keine Gründe angegeben.","برای این تصمیم هیچ دلیلی ذکر نشد.","Neutral","-","der","Gründe","hat den Grund angegeben","gab den Grund an","etw. begründen"
"vor Herausforderungen stellen","به چالش کشیدن","to challenge","Der neue Kunde stellt uns vor echte Herausforderungen.","مشتری جدید ما را با چالش‌های واقعی روبرو می‌کند.","Neutral","vor","die","Herausforderungen","hat vor Herausforderungen gestellt","stellte vor Herausforderungen","viel verlangen"
"Interesse haben an (+ Dat.)","علاقه داشتن به","to be interested in","Sie hat kein Interesse an einer neuen Stelle.","او هیچ علاقه‌ای به یک شغل جدید ندارد.","Neutral","an + D","das","Interessen","hat Interesse gehabt","hatte Interesse","sich für etw. interessieren"
"Interesse wecken an (+ Dat.)","علاقه ایجاد کردن","to arouse interest","Das Hobby hat mein Interesse an einer Fremdsprache noch einmal ganz neu geweckt.","این سرگرمی علاقه من را به یک زبان خارجی دوباره کاملاً زنده کرد.","Neutral","an + D","das","Interessen","hat Interesse geweckt","weckte Interesse","aufmerksam machen auf"
"in Kauf nehmen","پذیرفتن (سختی یا پیامد منفی)","to accept/put up with","Wer Markenprodukte haben möchte, muss hohe Preise in Kauf nehmen.","کسی که می‌خواهد محصولات برند داشته باشد، باید قیمت‌های بالا را بپذیرد.","Neutral","in","der","Käufe","hat in Kauf genommen","nahm in Kauf","(Nachteiliges) akzeptieren"
"zur Kenntnis nehmen","توجه کردن/اطلاع یافتن","to take note of","Ich habe ihre Anmerkung zur Kenntnis genommen.","من متوجه تذکر شما شدم.","Neutral","zu","die","Kenntnisse","hat zur Kenntnis genommen","nahm zur Kenntnis","bemerken, wahrnehmen"
"einen Kompromiss finden","مصالحه کردن / به توافق رسیدن","to find a compromise","Zum Glück haben wir schnell einen Kompromiss gefunden.","خوشبختانه ما سریع به یک توافق رسیدیم.","Neutral","-","der","Kompromisse","hat einen Kompromiss gefunden","fand einen Kompromiss","sich einigen"
"in Kontakt treten mit (+ Dat.)","در تماس بودن / ارتباط برقرار کردن","to get in touch with / to contact","Sind Sie schon mit der Kundin in Kontakt getreten?","آیا قبلاً با مشتری (خانم) تماس گرفته‌اید؟","Neutral","mit + D","der","Kontakte","ist in Kontakt getreten","trat in Kontakt","kontaktieren"
"die Kosten tragen für (+ Akk.)","هزینه ها را بر عهده گرفتن / پرداخت کردن","to bear the costs for","Wer trägt die Kosten für das Studium?","چه کسی هزینه‌های تحصیل را می‌پردازد؟","Neutral","für + A","die (Pl.)","Kosten","hat die Kosten getragen","trug die Kosten","bezahlen"
"Kritik üben an (+ Dat.)","انتقاد کردن","to criticize / to voice criticism","Bleiben Sie gelassen, wenn jemand Kritik an Ihnen übt.","آرام بمانید اگر کسی از شما انتقاد می‌کند.","Neutral","an + D","die","Kritiken","hat Kritik geübt","übte Kritik","kritisieren"
"in der Lage sein","قادر بودن / توانایی داشتن","to be able to / to be in a position to","Über Social-Media sind alle in der Lage, andere Leute mit gleichen Interessen zu finden.","از طریق شبکه‌های اجتماعی، همه قادرند افراد دیگر با علایق مشابه را پیدا کنند.","Neutral","-","die","Lagen","ist in der Lage gewesen","war in der Lage","können / fähig sein"
"auf dem Laufenden sein","در جریان بودن / به روز بودن","to be up to date / to be kept informed","Bist du über die neuesten Entwicklungen auf dem Laufenden?","آیا از آخرین تحولات باخبری؟","Neutral","über + A","das (Laufende)","-","ist auf dem Laufenden gewesen","war auf dem Laufenden","informiert sein"
"auf den Markt bringen","به بازار عرضه کردن / روانه بازار کردن","to launch / to bring to market","Es werden ständig neue Geräte auf den Markt gebracht.","مدام دستگاه‌های جدیدی به بازار عرضه می‌شوند.","Neutral","auf + A","der","Märkte","hat auf den Markt gebracht","brachte auf den Markt","etw. (zum ersten Mal) verkaufen"
"eine Meinung vertreten","عقیده داشتن / نظری را ابراز کردن","to hold an opinion / to represent a view","Ich vertrete folgende Meinung: ...","من چنین نظری دارم: ...","Neutral","-","die","Meinungen","hat eine Meinung vertreten","vertrat eine Meinung","meinen / denken"
"sich Mühe geben bei / mit (+ Dat.)","تلاش کردن / زحمت کشیدن","to make an effort / to take trouble","In privaten Situationen gibt man sich oft mehr Mühe, sich korrekt auszudrücken.","در موقعیت‌های خصوصی، آدم اغلب تلاش بیشتری می‌کند تا خودش را درست بیان کند.","Neutral","bei + D/mit + D","die","Mühen","hat sich Mühe gegeben","gab sich Mühe","sich bemühen"
"Platz schaffen","جا باز کردن / فضا ایجاد کردن","to make room / to create space","Wir haben viele Dinge entsorgt und Platz geschaffen.","ما بسیاری از چیزها را دور ریختیم و جا باز کردیم.","Neutral","-","der","Plätze","hat Platz geschaffen","schaffte Platz","aufräumen"
"die Pflicht haben","وظیفه داشتن","to have the duty","Man hat die Pflicht, gefundene Sachen zurückzugeben.","آدم وظیفه دارد اشیاء پیدا شده را پس دهد.","Neutral","-","die","Pflichten","hat die Pflicht gehabt","hatte die Pflicht","etw. müssen"
"ein Recht haben auf (+ Akk.)","حق داشتن برای","to have a right to","Man hat kein Recht darauf, jede Ware zurückzugeben.","آدم حق ندارد هر کالایی را پس بدهد.","Neutral","auf + A","das","Rechte","hat ein Recht gehabt","hatte ein Recht","erlaubt sein"
"eine Rede / ein Referat halten","سخنرانی کردن / ارائه دادن","to give a speech / a presentation","Sie hat gestern eine sehr interessante Rede gehalten.","او دیروز سخنرانی بسیار جالبی انجام داد.","Neutral","-","die / das","Reden / Referate","hat eine Rede / ein Referat gehalten","hielt eine Rede / ein Referat","referieren"
"eine Rolle spielen","نقش داشتن / مهم بودن","to play a role / be important","Bargeld wird in Zukunft kaum noch eine Rolle spielen.","پول نقد در آینده به سختی نقشی ایفا خواهد کرد.","Neutral","-","die","Rollen","hat eine Rolle gespielt","spielte eine Rolle","wichtig / relevant sein"
"Rücksicht nehmen auf (+ Akk.)","مراعات کردن / ملاحظه کردن","to be considerate of","Wir sollten Rücksicht auf unsere Mitmenschen nehmen.","ما باید مراعات همنوعان خود را بکنیم.","Neutral","auf + A","die","-","hat Rücksicht genommen","nahm Rücksicht","rücksichtsvoll sein"
"Ruhe bewahren","آرامش خود را حفظ کردن","to keep calm","Auch in schwierigen Situationen sollten Sie Ruhe bewahren.","حتی در موقعیت‌های دشوار هم باید آرامش خود را حفظ کنید.","Neutral","-","die","-","hat Ruhe bewahrt","bewahrte Ruhe","ruhig bleiben"
"Schaden erleiden durch (+ Akk.)","خسارت دیدن از طریق","to suffer damage through","Durch sein leichtsinniges Verhalten hat er Schaden erlitten.","او به دلیل رفتار بی‌ملاحظه‌اش دچار خسارت شد.","Neutral","durch + A","der","Schäden","hat Schaden erlitten","erlitt Schaden","geschädigt werden"
"Schluss machen mit (+ Dat.)","تمام کردن / پایان دادن به","to put an end to","Wir müssen Schluss machen mit der Energieverschwendung.","ما باید به هدر دادن انرژی پایان دهیم.","Neutral","mit + D","der","-","hat Schluss gemacht","machte Schluss","beenden"
"einen Sinn bekommen","معنا پیدا کردن","to make sense / gain a meaning","Die Aussage bekommt plötzlich einen Sinn.","آن گفته ناگهان معنا پیدا می‌کند.","Neutral","-","der","Sinne","hat einen Sinn bekommen","bekam einen Sinn","verständlich sein, nachvollziehbar werden"
"in den Sinn kommen","به ذهن رسیدن / به ذهن خطور کردن","to come to mind","Oft kommen uns verschiedene Ideen in den Sinn.","اغلب ایده‌های مختلفی به ذهن ما می‌رسد.","Neutral","in + A","der","Sinne","ist in den Sinn gekommen","kam in den Sinn","einfallen"
"sich Sorgen machen um (+ Akk.)","نگران بودن","to worry about","Ich mache mir große Sorgen um einen Freund.","من خیلی نگران یک دوست هستم.","Neutral","um + A","die","Sorgen","hat sich Sorgen gemacht","machte sich Sorgen","sich sorgen"
"aufs Spiel setzen","به خطر انداختن","to risk / to stake","Wir dürfen unsere Zukunft nicht aufs Spiel setzen.","ما نباید آینده‌مان را به خطر بیندازیم.","Neutral","auf + A","das","Spiele","hat aufs Spiel gesetzt","setzte aufs Spiel","riskieren"
"zur Sprache bringen","مطرح کردن","to bring up / to address","Dieses Thema sollte häufiger zur Sprache gebracht werden.","این موضوع باید بیشتر مطرح شود.","Neutral","zu + D","die","Sprachen","hat zur Sprache gebracht","brachte zur Sprache","ansprechen / erwähnen"
"auf dem Standpunkt stehen","بر این باور بودن","to take the view / to maintain","Ich stehe auf dem Standpunkt, dass Jugendliche mehr Unterstützung brauchen.","من معتقدم که نوجوانان به حمایت بیشتری نیاز دارند.","Neutral","auf + D","der","Standpunkte","hat auf dem Standpunkt gestanden","stand auf dem Standpunkt","meinen"
"Stellung nehmen zu (+ Dat.)","اظهار نظر کردن","to take a stand / to comment on","Ich möchte dazu kurz Stellung nehmen.","می‌خواهم در این مورد مختصراً اظهار نظر کنم.","Neutral","zu + D","die","Stellungen","hat Stellung genommen","nahm Stellung","seine Meinung äußern"
"einen Überblick haben über (+ Akk.)","اشراف داشتن","to have an overview of","Es muss immer jemanden geben, der den Überblick über die Produktion hat.","همیشه باید کسی باشد که بر تولید اشراف داشته باشد.","Neutral","über + A","der","Überblicke","hat einen Überblick gehabt","hatte einen Überblick","überblicken"
"Verantwortung übernehmen / tragen für (+ Akk.)","مسئولیت پذیرفتن / بر عهده گرفتن","to take/bear responsibility for","Freunde übernehmen Verantwortung füreinander.","دوستان در قبال یکدیگر مسئولیت می‌پذیرند.","Neutral","für + A","die","Verantwortungen","hat Verantwortung übernommen / getragen","übernahm / trug Verantwortung","verantwortlich sein"
"zur Verfügung stehen","در دسترس بودن","to be available","Uns steht leider nicht genug Geld zur Verfügung.","متاسفانه پول کافی در اختیار ما نیست.","Neutral","zu + D","die","Verfügungen","hat zur Verfügung gestanden","stand zur Verfügung","vorhanden sein, für jdn. da sein"
"Verständnis haben / aufbringen / zeigen für (+ Akk.)","درک کردن / همدلی نشان دادن","to show understanding for","Wir sollten versuchen, bei Konflikten mehr Verständnis aufzubringen.","ما باید سعی کنیم در درگیری‌ها درک بیشتری نشان دهیم.","Neutral","für + A","das","-","hat Verständnis gehabt / aufgebracht / gezeigt","hatte / brachte auf / zeigte Verständnis","verstehen"
"eine Vorlesung halten","سخنرانی کردن (دانشگاهی)","to give a lecture","Sie hat eine sehr gute Vorlesung gehalten.","او سخنرانی (درس) بسیار خوبی ارائه داد.","Neutral","-","die","Vorlesungen","hat eine Vorlesung gehalten","hielt eine Vorlesung","als Professor/in vor Studenten und Studentinnen reden"
"einen Vorschlag machen","پیشنهاد دادن","to make a suggestion","Können Sie uns einen konkreten Vorschlag machen?","می‌توانید به ما یک پیشنهاد مشخص بدهید؟","Neutral","-","der","Vorschläge","hat einen Vorschlag gemacht","machte einen Vorschlag","vorschlagen"
"die Wahl haben","حق انتخاب داشتن","to have the choice","Wer die Wahl hat, hat die Qual.","هر که حق انتخاب دارد، دردسر (انتخاب) هم دارد.","Neutral","-","die","Wahlen","hat die Wahl gehabt","hatte die Wahl","sich entscheiden können / müssen"
"sich auf den Weg machen","راه افتادن","to set off","Sie haben sich früh auf den Weg gemacht.","آن‌ها زود راه افتادند.","Neutral","auf + A","der","Wege","hat sich auf den Weg gemacht","machte sich auf den Weg","losgehen / losfahren"
"aus dem Weg gehen","دوری کردن (از کسی)","to avoid someone","Seit dem Streit gehen sie sich aus dem Weg.","از زمان دعوا، آن‌ها از یکدیگر دوری می‌کنند.","Neutral","aus + D","der","Wege","ist aus dem Weg gegangen","ging aus dem Weg","jdn. vermeiden, jdm. ausweichen"
"Wert legen auf (+ Akk.)","اهمیت دادن به","to value / to place importance on","Viele legen heute großen Wert auf faire Arbeitsbedingungen.","امروزه بسیاری اهمیت زیادی برای شرایط کاری منصفانه قائل هستند.","Neutral","auf + A","der","Werte","hat Wert gelegt","legte Wert","wichtig finden"
"eine Wirkung haben","تأثیر داشتن","to have an effect","Manche bezweifeln, dass die Projekte eine große Wirkung haben.","برخی تردید دارند که این پروژه‌ها تأثیر بزرگی داشته باشند.","Neutral","-","die","Wirkungen","hat eine Wirkung gehabt","hatte eine Wirkung","bewirken"
