Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Artikel,Plural
einziehen,اسباب‌کشی کردن (به داخل),to move in,Die neuen Mieter ziehen am ersten Mai ein.,مستأجران جدید اول ماه مه اسباب‌کشی می‌کنند.,-,(Verb)
ernst,جدی,serious,Ist das dein Ernst?,آیا این حرفت جدی است؟,-,(Adj)
faul,تنبل,lazy,Heute bin ich faul und mache nichts.,امروز تنبل هستم و هیچ کاری نمی‌کنم.,-,(Adj)
Rente,بازنشستگی,pension,Mein Vater geht nächstes Jahr in Rente.,پدرم سال آینده بازنشسته می‌شود.,die,die Renten
füttern,غذا دادن (حیوان),to feed,Hast du die Katze schon gefüttert?,آیا به گربه غذا داده‌ای؟,-,(Verb)
ärgerlich,ناراحت‌کننده / آزاردهنده,annoying,Es ist ärgerlich, dass der Bus Verspätung hat.,این ناراحت‌کننده است که اتوبوس تأخیر دارد.,-,(Adj)
enttäuscht,ناامید / مأیوس,disappointed,Sie war enttäuscht von dem Ergebnis.,او از نتیجه ناامید شد.,-,(Adj)
leeren,خالی کردن,to empty,Bitte leeren Sie den Briefkasten.,لطفاً صندوق پست را خالی کنید.,-,(Verb)
Einrichtung,اثاثیه / دکوراسیون,furnishing / facility,Die Einrichtung der Wohnung ist sehr modern.,دکوراسیون آپارتمان بسیار مدرن است.,die,die Einrichtungen
Spedition,شرکت حمل و نقل,forwarding agency,Wir haben eine Spedition für den Umzug beauftragt.,ما یک شرکت حمل و نقل برای اسباب‌کشی استخدام کردیم.,die,die Speditionen
Hausordnung,مقررات ساختمان,house regulations,Bitte lesen Sie die Hausordnung aufmerksam durch.,لطفاً مقررات ساختمان را با دقت بخوانید.,die,die Hausordnungen
Dach,سقف / بام,roof,Das Dach des Hauses muss repariert werden.,سقف خانه باید تعمیر شود.,das,die Dächer
Treppenhaus,راه پله,staircase,Das Treppenhaus wird jede Woche gereinigt.,راه پله هر هفته تمیز می‌شود.,das,die Treppenhäuser
Lärm,سر و صدا,noise,Der Lärm von der Baustelle stört mich.,سر و صدای ساخت و ساز مرا اذیت می‌کند.,der,-
Rücksicht,ملاحظه / مراعات,consideration,Bitte nehmen Sie Rücksicht auf die Nachbarn.,لطفاً حال همسایگان را مراعات کنید.,die,-
Nachbarschaft,همسایگی / محله,neighborhood,In unserer Nachbarschaft ist es sehr ruhig.,در محله ما خیلی ساکت است.,die,die Nachbarschaften
Kosten,هزینه‌ها,costs,Die Kosten für den Strom sind gestiegen.,هزینه‌های برق افزایش یافته است.,-,die (Pluralwort)
Heizung,شوفاژ / گرمایش,heating,Im Winter brauchen wir die Heizung jeden Tag.,در زمستان ما هر روز به شوفاژ نیاز داریم.,die,die Heizungen
Miete,اجاره,rent,Die Miete für diese Wohnung ist sehr hoch.,اجاره این آپارتمان خیلی بالا است.,die,die Mieten
Nebenkosten,هزینه‌های جانبی (شارژ),additional costs / utilities,In der Miete sind die Nebenkosten enthalten.,هزینه‌های جانبی در اجاره گنجانده شده است.,-,die (Pluralwort)
kündigen,فسخ کردن / استعفا دادن,to cancel / to quit,Ich möchte meinen Mietvertrag kündigen.,من می‌خواهم قرارداد اجاره‌ام را فسخ کنم.,-,(Verb)
Vertrag,قرارداد,contract,Bitte unterschreiben Sie den Vertrag hier.,لطفاً قرارداد را اینجا امضا کنید.,der,die Verträge
Absender,فرستنده,sender,Bitte schreiben Sie den Absender auf den Brief.,لطفاً نام فرستنده را روی نامه بنویسید.,der,die Absender
bestätigen,تایید کردن,to confirm,Können Sie den Termin bitte bestätigen?,می‌توانید لطفاً قرار ملاقات را تایید کنید؟,-,(Verb)
Empfang,دریافت / پذیرش,receipt / reception,Bitte bestätigen Sie den Empfang der E-Mail.,لطفاً دریافت ایمیل را تایید کنید.,der,-
Frühstückspause,استراحت صبحانه,breakfast break,Wir machen um 9 Uhr eine Frühstückspause.,ما ساعت ۹ استراحت صبحانه می‌کنیم.,die,die Frühstückspausen
Material,مواد / مصالح,material,Das Material ist sehr robust.,این مواد بسیار مقاوم هستند.,das,die Materialien
Einkaufsgewohnheit,عادت خرید,shopping habit,Die Einkaufsgewohnheiten der Kunden haben sich geändert.,عادات خرید مشتریان تغییر کرده است.,die,die Einkaufsgewohnheiten
Einkaufsmöglichkeit,امکان خرید,shopping facility,Hier gibt es viele Einkaufsmöglichkeiten.,اینجا امکانات خرید زیادی وجود دارد.,die,die Einkaufsmöglichkeiten
dringend,فوری,urgent,Ich brauche dringend einen Arzt.,من فوراً به یک پزشک نیاز دارم.,-,(Adj)
Tankstelle,پمپ بنزین,gas station,Wir müssen an der nächsten Tankstelle halten.,ما باید در پمپ بنزین بعدی توقف کنیم.,die,die Tankstellen
Ecke,گوشه / نبش,corner,Der Laden ist gleich um die Ecke.,مغازه درست همین نبش است.,die,die Ecken
Händler,فروشنده / تاجر,dealer / merchant,Ich habe das Auto beim Händler gekauft.,من ماشین را از فروشنده خریدم.,der,die Händler
Lieferservice,سرویس تحویل,delivery service,Der Lieferservice bringt das Essen nach Hause.,سرویس تحویل غذا را به خانه می‌آورد.,der,die Lieferservices
Metzgerei,قصابی,butcher shop,Ich kaufe Fleisch in der Metzgerei.,من از قصابی گوشت می‌خرم.,die,die Metzgereien
tiefgekühlt,منجمد / فریز شده,frozen,Ich kaufe oft tiefgekühltes Gemüse.,من اغلب سبزیجات منجمد می‌خرم.,-,(Adj)
um,دور / اطراف,around,Hier um die Ecke gibt es einen Laden.,اینجا در اطراف گوشه یک مغازه هست.,-,(Präp)
unter,در طول / زیر,during / under,Unter der Woche habe ich wenig Zeit.,در طول هفته وقت کمی دارم.,-,(Präp)
verschwinden,ناپدید شدن,to disappear,Die Sonne verschwindet hinter den Wolken.,خورشید پشت ابرها ناپدید می‌شود.,-,(Verb)
unerwartet,غیرمنتظره,unexpected,Der Besuch kam völlig unerwartet.,مهمان کاملاً غیرمنتظره آمد.,-,(Adj)
Ausgabe,هزینه,expense,Wir müssen unsere Ausgaben reduzieren.,ما باید هزینه‌هایمان را کاهش دهیم.,die,die Ausgaben
berechnen,محاسبه کردن / حساب کردن,to calculate / charge,Der Kellner berechnet die Getränke extra.,پیشخدمت هزینه نوشیدنی‌ها را جداگانه حساب می‌کند.,-,(Verb)
Bio-Bauernhof,مزرعه ارگانیک,organic farm,Wir kaufen Gemüse direkt vom Bio-Bauernhof.,ما سبزیجات را مستقیم از مزرعه ارگانیک می‌خریم.,der,die Bio-Bauernhöfe
biologisch,بیولوژیکی / ارگانیک,biological / organic,Das ist biologisch angebautes Obst.,این میوه به صورت ارگانیک کشت شده است.,-,(Adj)
Entfernung,فاصله / مسافت,distance,Die Entfernung zum Bahnhof ist gering.,فاصله تا ایستگاه قطار کم است.,die,die Entfernungen
Erzeugung,تولید,production / generation,Die Erzeugung von Strom kostet Geld.,تولید برق هزینه دارد.,die,die Erzeugungen
Fischprodukt,محصول دریایی (ماهی),fish product,Wir verkaufen frische Fischprodukte.,ما محصولات ماهی تازه می‌فروشیم.,das,die Fischprodukte
Fischzucht,پرورش ماهی,fish farming,Die Forelle kommt aus einer Fischzucht.,قزل‌آلا از یک مرکز پرورش ماهی می‌آید.,die,die Fischzuchten
Forelle,قزل‌آلا,trout,Ich esse gerne gebratene Forelle.,من قزل‌آلای سرخ شده دوست دارم.,die,die Forellen
garantieren,تضمین کردن,to guarantee,Ich kann dir den Erfolg nicht garantieren.,من نمی‌توانم موفقیت را به تو تضمین دهم.,-,(Verb)
Gemüsebauer,سبزی‌کار / کشاورز سبزیجات,vegetable farmer,Der Gemüsebauer verkauft auf dem Markt.,سبزی‌کار در بازار می‌فروشد.,der,die Gemüsebauern
gering,کم / ناچیز,low / small,Das Risiko ist sehr gering.,ریسک بسیار کم است.,-,(Adj)
gesamt,کل / تمام,total / whole,Das gesamte Team hat geholfen.,تمام تیم کمک کردند.,-,(Adj)
Lagerung,انبار کردن / نگهداری,storage,Die richtige Lagerung ist wichtig für Lebensmittel.,نگهداری صحیح برای مواد غذایی مهم است.,die,die Lagerungen
nicht nur,نه تنها,not only,Ich spreche nicht nur Deutsch, sondern auch Englisch.,من نه تنها آلمانی، بلکه انگلیسی هم صحبت می‌کنم.,-,(Konj)
Produzent,تولیدکننده,producer,Er ist ein bekannter Musikproduzent.,او یک تهیه‌کننده موسیقی معروف است.,der,die Produzenten
Saison,فصل,season,Erdbeeren haben im Sommer Saison.,توت فرنگی‌ها در تابستان فصلشان است.,die,die Saisons
Samstagsmarkt,بازار شنبه,Saturday market,Wir gehen immer auf den Samstagsmarkt.,ما همیشه به بازار شنبه می‌رویم.,der,die Samstagsmärkte
Schaf,گوسفند,sheep,Das Schaf steht auf der Wiese.,گوسفند در چمنزار ایستاده است.,das,die Schafe
Schweinefleisch,گوشت خوک,pork,Er isst kein Schweinefleisch.,او گوشت خوک نمی‌خورد.,das,-
sowie,و همچنین,as well as,Wir laden Freunde sowie Verwandte ein.,ما دوستان و همچنین اقوام را دعوت می‌کنیم.,-,(Konj)
spätestens,حداکثر / نهایتاً,at the latest,Ich bin spätestens um 8 Uhr da.,من نهایتاً ساعت ۸ آنجا هستم.,-,(Adv)
Transportweg,مسیر حمل و نقل,transport route,Kurze Transportwege sind gut für die Umwelt.,مسیرهای حمل و نقل کوتاه برای محیط زیست خوب هستند.,der,die Transportwege
überzeugen,متقاعد کردن / اطمینان حاصل کردن,to convince,Ich habe mich von der Qualität überzeugt.,من از کیفیت اطمینان حاصل کردم.,-,(Verb)
Wert,ارزش,value,Das Haus hat einen hohen Wert.,خانه ارزش بالایی دارد.,der,die Werte
zustellen,تحویل دادن,to deliver,Die Post wird morgen zugestellt.,پست فردا تحویل داده می‌شود.,-,(Verb)
Zustellung,تحویل,delivery,Die Zustellung ist kostenlos.,تحویل رایگان است.,die,die Zustellungen
weiterschreiben,ادامه دادن نوشتن,to continue writing,Bitte schreiben Sie den Text weiter.,لطفاً نوشتن متن را ادامه دهید.,-,(Verb)
reklamieren,شکایت کردن / اعتراض کردن,to complain / reclaim,Ich muss die defekte Ware reklamieren.,من باید کالای معیوب را مرجوع/اعتراض کنم.,-,(Verb)
ja,بله / (تأکید),yes / (particle),Das kann ja wohl nicht wahr sein!,این که نمی‌تواند واقعیت داشته باشد!,-,(Partikel)
Lieferung,تحویل / محموله,delivery,Wir warten auf die Lieferung der Möbel.,ما منتظر تحویل مبلمان هستیم.,die,die Lieferungen
so viel,اینقدر زیاد,so much,Ich habe noch nie so viel gegessen.,من هرگز اینقدر زیاد نخورده بودم.,-,-
sondern,بلکه,but (rather),Das ist kein Auto, sondern ein Bus.,این ماشین نیست، بلکه اتوبوس است.,-,(Konj)
Fahrer,راننده,driver,Der Fahrer wartet im Auto.,راننده در ماشین منتظر است.,der,die Fahrer
Kundennummer,شماره مشتری,customer number,Bitte geben Sie Ihre Kundennummer an.,لطفاً شماره مشتری خود را وارد کنید.,die,die Kundennummern
Loch,سوراخ,hole,Die Hose hat ein Loch.,شلوار یک سوراخ دارد.,das,die Löcher
umtauschen,تعویض کردن,to exchange,Kann ich das Hemd umtauschen?,می‌توانم پیراهن را تعویض کنم؟,-,(Verb)
Ware,کالا / جنس,goods,Die Ware wird morgen geliefert.,کالا فردا تحویل داده می‌شود.,die,die Waren
zurückbekommen,پس گرفتن,to get back,Wann bekomme ich mein Geld zurück?,کی پولم را پس می‌گیرم؟,-,(Verb)
zurückschicken,پس فرستادن,to send back,Sie können das Paket kostenlos zurückschicken.,شما می‌توانید بسته را رایگان پس بفرستید.,-,(Verb)
Reklamation,شکایت (کالا),complaint,Bei Reklamationen wenden Sie sich bitte an den Kundenservice.,برای شکایات لطفاً با خدمات مشتریان تماس بگیرید.,die,die Reklamationen
Wäscherei,خشکشویی,laundry,Ich bringe meine Anzüge in die Wäscherei.,من کت و شلوارهایم را به خشکشویی می‌برم.,die,die Wäschereien
Mahnung,اخطاریه,reminder / warning,Ich habe eine Mahnung wegen der offenen Rechnung bekommen.,من یک اخطاریه برای صورتحساب پرداخت نشده دریافت کردم.,die,die Mahnungen
also,پس / بنابراین,so / therefore,Er ist umgezogen. Die Adresse ist also falsch.,او اسباب‌کشی کرده است. پس آدرس اشتباه است.,-,(Partikel)
anscheinend,ظاهراً,apparently,Anscheinend hat er den Termin vergessen.,ظاهراً او قرار را فراموش کرده است.,-,(Adv)
Betrag,مبلغ,amount,Bitte überweisen Sie den vollen Betrag.,لطفاً مبلغ کامل را واریز کنید.,der,die Beträge
geehrt,محترم / گرامی,honored / dear,Sehr geehrte Damen und Herren,,خانم‌ها و آقایان محترم،,-,(Adj)
Hektik,شلوغی / عجله,rush / hecticness,Ich mag die Hektik der Großstadt nicht.,من شلوغی شهر بزرگ را دوست ندارم.,die,-
Kundenservice,خدمات مشتریان,customer service,Der Kundenservice ist sehr hilfreich.,خدمات مشتریان بسیار مفید است.,der,die Kundenservices
Liefergebühr,هزینه ارسال,delivery fee,Die Liefergebühr beträgt 5 Euro.,هزینه ارسال ۵ یورو است.,die,die Liefergebühren
nächst,بعدی,next,Wir sehen uns nächste Woche.,ما هفته آینده همدیگر را می‌بینیم.,-,(Adj)
übersehen,نادیده گرفتن / ندیدن,to overlook,Ich habe das Schild übersehen.,من تابلو را ندیدم (متوجه نشدم).,-,(Verb)
überweisen,واریز کردن,to transfer (money),Ich werde das Geld heute überweisen.,من امروز پول را واریز خواهم کرد.,-,(Verb)
Kunde,مشتری,customer,Der Kunde ist König.,مشتری پادشاه است.,der,die Kunden
dran,نوبت (کسی بودن),turn (to be one's turn),Wer ist jetzt dran?,الان نوبت کیست؟,-,(Adv)
Mandarine,نارنگی,mandarin,Ich esse gerne Mandarinen im Winter.,من در زمستان دوست دارم نارنگی بخورم.,die,die Mandarinen
Ursache,علت,cause,Die Ursache des Unfalls ist noch unklar.,علت تصادف هنوز نامشخص است.,die,die Ursachen
vorgehen,جلو رفتن / اقدام کردن,to proceed / go ahead,Sie können schon mal vorgehen.,شما می‌توانید جلو بروید.,-,(Verb)
vorlassen,اجازه رد شدن دادن,to let someone go first,Können Sie mich bitte vorlassen? Ich habe es eilig.,می‌توانید اجازه دهید من رد شوم؟ عجله دارم.,-,(Verb)
durchsetzen,به کرسی نشاندن / اعمال کردن,to enforce,Er konnte seine Meinung durchsetzen.,او توانست نظرش را به کرسی بنشاند.,-,(Verb)
dabeihaben,همراه داشتن,to have with one,Hast du deine Tasche dabei?,آیا کیفت را همراه داری؟,-,(Verb)
asiatisch,آسیایی,Asian,Ich mag asiatisches Essen.,من غذای آسیایی دوست دارم.,-,(Adj)
Asien-Laden,فروشگاه آسیایی,Asian shop,Ich kaufe Reis im Asien-Laden.,من از فروشگاه آسیایی برنج می‌خرم.,der,die Asien-Läden
denen,که به آن‌ها,whom / those,Das sind die Freunde, von denen ich erzählt habe.,این‌ها دوستانی هستند که درباره‌شان گفتم.,-,(Pron)
ehrlich,صادق,honest,Sei bitte ehrlich zu mir.,لطفاً با من صادق باش.,-,(Adj)
Einkaufstipp,نکته خرید,shopping tip,Hast du einen guten Einkaufstipp für mich?,آیا نکته خرید خوبی برای من داری؟,der,die Einkaufstipps
Erdbeere,توت فرنگی,strawberry,Erdbeeren schmecken im Sommer am besten.,توت فرنگی در تابستان بهترین طعم را دارد.,die,die Erdbeeren
ernten,برداشت کردن,to harvest,Wir ernten die Äpfel im Herbst.,ما سیب‌ها را در پاییز برداشت می‌کنیم.,-,(Verb)
Feld,مزرعه / دشت,field,Das Feld ist voller Blumen.,دشت پر از گل است.,das,die Felder
fern,دور,far,Die Heimat ist fern.,وطن دور است.,-,(Adj)
fruchtig,میوه‌ای,fruity,Der Wein schmeckt sehr fruchtig.,شراب طعم میوه‌ای دارد.,-,(Adj)
Genuss,لذت,enjoyment,Kaffee ist für mich ein Genuss.,قهوه برای من یک لذت است.,der,die Genüsse
Geschmack,طعم / سلیقه,taste,Über Geschmack lässt sich nicht streiten.,درباره سلیقه نمی‌توان بحث کرد.,der,die Geschmäcker
Gewicht,وزن,weight,Das Gewicht des Pakets beträgt 2 kg.,وزن بسته ۲ کیلوگرم است.,das,die Gewichte
konsumieren,مصرف کردن,to consume,Wir konsumieren zu viel Plastik.,ما پلاستیک زیادی مصرف می‌کنیم.,-,(Verb)
Mehl,آرد,flour,Zum Backen brauche ich Mehl.,برای پختن به آرد نیاز دارم.,das,die Mehle
Ozean,اقیانوس,ocean,Der Ozean ist riesig.,اقیانوس عظیم است.,der,die Ozeane
pur,خالص,pure,Ich trinke den Saft pur.,من آبمیوه را خالص می‌نوشم.,-,(Adj)
reif,رسیده,ripe,Die Banane ist noch nicht reif.,موز هنوز رسیده نیست.,-,(Adj)
Rest,باقی‌مانده,rest,Den Rest des Kuchens esse ich morgen.,بقیه کیک را فردا می‌خورم.,der,die Reste
Rezept,دستور پخت,recipe,Ich habe hier ein gutes Rezept für Apfelkuchen.,من اینجا یک دستور پخت خوب برای کیک سیب دارم.,das,die Rezepte
sauer,ترش,sour,Dieser Apfel ist sehr sauer.,این سیب خیلی ترش است.,-,(Adj)
schonen,مراقبت کردن / صرفه‌جویی کردن,to spare / protect,Wir müssen die Umwelt schonen.,ما باید از محیط زیست مراقبت کنیم.,-,(Verb)
Sonderangebot,پیشنهاد ویژه,special offer,Das Sonderangebot gilt nur heute.,پیشنهاد ویژه فقط امروز معتبر است.,das,die Sonderangebote
süß,شیرین,sweet,Hier gibt es von süß bis sauer etwas für jeden Geschmack.,اینجا از شیرین تا ترش برای هر سلیقه‌ای چیزی هست.,-,(Adj)
Umwelt,محیط زیست,environment,Wir müssen die Umwelt schützen.,ما باید از محیط زیست محافظت کنیم.,die,-
zu Wort kommen,فرصت حرف زدن پیدا کردن,to get a word in,In der Diskussion kam ich gar nicht zu Wort.,در بحث اصلاً فرصت حرف زدن پیدا نکردم.,-,(Phrase)
Zutat,ماده اولیه,ingredient,Hast du alle Zutaten für den Kuchen?,آیا همه مواد لازم برای کیک را داری؟,die,die Zutaten
Freude,شادی / خوشحالی,joy,Das Geschenk hat mir große Freude gemacht.,هدیه باعث خوشحالی من شد.,die,die Freuden
kürzlich,اخیراً,recently,Ich habe ihn kürzlich getroffen.,من اخیراً او را ملاقات کردم.,-,(Adv)
als Nächstes,سپس / در مرحله بعد,next,Als Nächstes besprechen wir den Zeitplan.,در مرحله بعد برنامه زمانی را بررسی می‌کنیم.,-,-
angestellt,استخدام شده,employed,Er ist seit zehn Jahren hier angestellt.,او ده سال است که اینجا استخدام شده است.,-,(Adj)
Dienstplan,برنامه کاری / شیفت,duty roster,Der neue Dienstplan hängt im Büro.,برنامه کاری جدید در دفتر نصب شده است.,der,die Dienstpläne
Filialleiter,مدیر شعبه,branch manager,Der Filialleiter ist heute nicht im Haus.,مدیر شعبه امروز در شرکت نیست.,der,die Filialleiter
gleichzeitig,همزمان,simultaneously,Sie kann telefonieren und gleichzeitig schreiben.,او می‌تواند همزمان تلفن صحبت کند و بنویسد.,-,(Adj)
insgesamt,در مجموع,altogether,Das macht insgesamt 20 Euro.,این در مجموع ۲۰ یورو می‌شود.,-,(Adv)
Käsetheke,پیشخوان پنیر,cheese counter,Bitte 200 Gramm Gouda von der Käsetheke.,لطفاً ۲۰۰ گرم گودا از پیشخوان پنیر بدهید.,die,die Käsetheken
räumen,خالی کردن / چیدن,to clear / evacuate,Wir müssen das Lager räumen.,ما باید انبار را خالی کنیم.,-,(Verb)
Wursttheke,پیشخوان سوسیس,sausage counter,An der Wursttheke gibt es frische Salami.,در پیشخوان سوسیس سالامی تازه موجود است.,die,die Wursttheken
zwar,اگرچه / در واقع,indeed / admittedly,Ich arbeite im Büro, und zwar als Sekretärin.,من در دفتر کار می‌کنم، و در واقع به عنوان منشی.,-,(Konj)
Sprechtraining,تمرین صحبت کردن,speech training,Das Sprechtraining verbessert die Aussprache.,تمرین صحبت کردن تلفظ را بهبود می‌بخشد.,das,die Sprechtrainings
wegfahren,رفتن (با وسیله نقلیه),to drive away / leave,Wir wollen am Wochenende wegfahren.,ما می‌خواهیم آخر هفته به مسافرت برویم.,-,(Verb)
Satzpaar,جفت جمله,sentence pair,Bilden Sie passende Satzpaare.,جفت جمله‌های مناسب بسازید.,das,die Satzpaare
vertauschen,جابجا کردن / اشتباه گرفتن,to swap / mix up,Ich habe aus Versehen die Jacken vertauscht.,من اشتباهاً کاپشن‌ها را جابجا برداشتم.,-,(Verb)
aussetzen,نوبت را رد کردن / مکث کردن,to suspend / skip a turn,Du musst eine Runde aussetzen.,تو باید یک دور بازی نکنی (نوبتت را رد کنی).,-,(Verb)
erwarten,انتظار داشتن,to expect,Wir erwarten pünktliche Lieferung.,ما انتظار تحویل به موقع داریم.,-,(Verb)
fallen,افتادن,to fall,Das Glas ist auf den Boden gefallen.,لیوان روی زمین افتاد.,-,(Verb)
Kundendienst,خدمات مشتریان,customer service,Rufen Sie bitte den Kundendienst an.,لطفاً با خدمات مشتریان تماس بگیرید.,der,die Kundendienste
Mitspieler,هم‌بازی,fellow player,Die Mitspieler warten auf deinen Zug.,هم‌بازی‌ها منتظر حرکت تو هستند.,der,die Mitspieler
Münze,سکه,coin,Hast du eine Münze für den Einkaufswagen?,آیا یک سکه برای سبد خرید داری؟,die,die Münzen
Spieler,بازیکن,player,Jeder Spieler zieht eine Karte.,هر بازیکن یک کارت می‌کشد.,der,die Spieler
Spielfigur,مهره بازی,game piece,Wähle eine rote Spielfigur.,یک مهره بازی قرمز انتخاب کن.,die,die Spielfiguren
vordrängen,جلو زدن (در صف),to push forward,Bitte nicht vordrängen, stellen Sie sich hinten an!,لطفاً جلو نزنید، بروید ته صف بایستید!,-,(Verb)
weitergehen,ادامه دادن,to go on / continue,Gehen Sie zwei Felder weiter.,دو خانه جلوتر بروید.,-,(Verb)
werfen,پرتاب کردن,to throw,Werfen Sie den Würfel.,تاس را پرتاب کنید.,-,(Verb)
zerbrechen,شکستن,to break / shatter,Vorsicht, das Glas kann leicht zerbrechen.,مراقب باش، شیشه ممکن است به راحتی بشکند.,-,(Verb)
vermutlich,احتمالاً,probably,Der Zug hat vermutlich Verspätung.,قطار احتمالاً تاخیر دارد.,-,(Adv)
melden,گزارش دادن / خبر دادن,to report,Den Schaden melde ich der Versicherung.,خسارت را به بیمه گزارش می‌دهم.,-,(Verb)
Versicherung,بیمه,insurance,Haben Sie eine Versicherung für das Auto?,آیا برای ماشین بیمه دارید؟,die,die Versicherungen
Schaden,خسارت / ضرر,damage,Der Sturm hat großen Schaden verursacht.,طوفان خسارت زیادی به بار آورد.,der,die Schäden
Bankangebot,پیشنهاد بانکی,bank offer,Das Bankangebot klingt sehr gut.,پیشنهاد بانکی خیلی خوب به نظر می‌رسد.,das,die Bankangebote
Infotext,متن اطلاع‌رسانی,info text,Lesen Sie den Infotext genau durch.,متن اطلاع‌رسانی را با دقت بخوانید.,der,die Infotexte
Mailbox-Nachricht,پیام صوتی,voicemail message,Sie haben eine neue Mailbox-Nachricht.,شما یک پیام صوتی جدید دارید.,die,die Mailbox-Nachrichten
Versicherungsfall,مورد بیمه,insurance case,Im Versicherungsfall rufen Sie uns bitte an.,در صورت بروز مورد بیمه لطفاً با ما تماس بگیرید.,der,die Versicherungsfälle
