Deutsch,Präposition,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status
sich überzeugen / überzeugt,von + D,متقاعد شدن از,to be convinced of,Ich bin von seiner Unschuld überzeugt.,من به بی‌گناهی او اطمینان دارم.,Neutral
sich unterhalten / die Unterhaltung,über + A,گفتگو کردن درباره,to chat about,Wir haben uns über den Film unterhalten.,ما درباره فیلم گفتگو کردیم.,Neutral
sich verabreden / die Verabredung,mit + D,قرار گذاشتن با,to make an appointment with,Ich bin mit ihm zum Essen verabredet.,من با او برای شام قرار دارم.,Neutral
verantwortlich / die Verantwortung,für + A,مسئول بودن برای,responsible for,Wer ist für dieses Projekt verantwortlich?,چه کسی مسئول این پروژه است؟,Neutral
vergleichen / der Vergleich,mit + D,مقایسه کردن با,to compare with,Man kann Äpfel nicht mit Birnen vergleichen.,نمی‌توان سیب را با گلابی مقایسه کرد.,Neutral
sich verlieben / verliebt,in + A,عاشق شدن در,to fall in love with,Sie hat sich in ihren Kollegen verliebt.,او عاشق همکارش شده است.,Neutral
sich vorbereiten / die Vorbereitung,auf + A,آماده شدن برای,to prepare for,Er bereitet sich auf die Prüfung vor.,او خود را برای امتحان آماده می‌کند.,Neutral
warten,auf + A,منتظر ماندن برای,to wait for,Wir warten auf den Bus.,ما منتظر اتوبوس هستیم.,Neutral
sich wundern / die Verwunderung,über + A,تعجب کردن از,to wonder about,Ich wundere mich über seine Reaktion.,من از واکنش او تعجب می‌کنم.,Neutral
zufrieden / die Zufriedenheit,mit + D,راضی بودن از,satisfied with,Bist du mit dem Ergebnis zufrieden?,آیا از نتیجه راضی هستی؟,Neutral
zweifeln / der Zweifel,an + D,شک داشتن به,to doubt,Ich zweifle an seiner Ehrlichkeit.,من به صداقت او شک دارم.,Neutral
