"Deutsch","Farsi","English","Beispielsatz","Beispielsatz_Farsi","Status","Präposition","Artikel","Plural","Perfekt","Präteritum"
"auslaufen","تمام شدن، نشتی داشتن","to run out, to leak","Das Benzin ist aus dem Kanister ausgelaufen.","بنزین از قوطی نشت کرده است.","Neutral","aus + D","","","ausgelaufen","lief aus"
"aussehen","به نظر رسیدن، قیافه داشتن","to look, to appear","Du hast heute sehr müde ausgesehen.","تو امروز بسیار خسته به نظر می‌رسیدی.","Neutral","","","","ausgesehen","sah aus"
"backen","پختن (در فر)","to bake","Sie hat gestern einen großen Kuchen gebacken.","او دیروز یک کیک بزرگ پخت.","Neutral","","","","gebacken","backte"
"sich befinden","قرار داشتن، واقع بودن","to be located, to be situated","Das Büro befindet sich im zweiten Stock.","دفتر کار در طبقه دوم واقع شده است.","Neutral","in + D","","","befunden","befand sich"
"begehen","مرتکب شدن، انجام دادن","to commit (a mistake/crime)","Er hat einen schweren Fehler begangen.","او مرتکب یک اشتباه جدی شد.","Neutral","","","","begangen","beging"
"beginnen","شروع کردن","to begin, to start","Wir haben mit der Arbeit pünktlich begonnen.","ما کار را به موقع شروع کردیم.","Neutral","mit + D","","","begonnen","begann"
"behalten","نگه داشتن","to keep, to retain","Du kannst das Buch gerne behalten.","تو می‌توانی کتاب را نگه داری.","Neutral","","","","behalten","behielt"
"beibringen","آموزش دادن، یاد دادن","to teach, to impart","Der Lehrer hat dem Schüler das Lesen beigebracht.","معلم به دانش آموز خواندن یاد داد.","Neutral","","","","beigebracht","brachte bei"
"beitragen","کمک کردن، سهم داشتن","to contribute","Er hat viel zum Erfolg des Projekts beigetragen.","او سهم زیادی در موفقیت پروژه داشته است.","Neutral","zu + D","","","beigetragen","trug bei"
"bekommen","دریافت کردن، گرفتن","to receive, to get","Hast du die E-Mail gestern noch bekommen?","آیا دیروز ایمیل را دریافت کردی؟","Neutral","","","","bekommen","bekam"
"sich belaufen","بالغ شدن، تخمین زدن","to amount to, to total","Die Kosten belaufen sich auf 500 Euro.","هزینه‌ها به 500 یورو بالغ می‌شود.","Neutral","auf + A","","","belaufen", "belief sich"
"beschließen","تصمیم گرفتن، تصویب کردن","to decide, to resolve","Der Vorstand beschloss die neue Strategie.","هیئت مدیره استراتژی جدید را تصویب کرد.","Neutral","","","","beschlossen", "beschloss"
"beschreiben","توصیف کردن","to describe","Kannst du mir den Weg zum Bahnhof beschreiben?","آیا می توانی مسیر ایستگاه قطار را برایم توصیف کنی؟","Neutral","","","","beschrieben", "beschrieb"
"besitzen","داشتن، مالک بودن","to own, to possess","Sie besitzt ein großes Haus in der Schweiz.","او مالک یک خانه بزرگ در سوئیس است.","Neutral","","","","besessen", "besaß"
"besprechen","بحث کردن، مذاکره کردن","to discuss","Wir müssen die Details des Projekts besprechen.","ما باید جزئیات پروژه را مورد بحث قرار دهیم.","Neutral","","","","besprochen", "besprach"
"bestehen","قبول شدن، شامل بودن، اصرار داشتن","to pass (exam), to consist of","Er hat die Prüfung endlich bestanden.","او بالاخره در امتحان قبول شد.","Neutral","aus + D / auf + A","","","bestanden", "bestand"
"bestreiten","انکار کردن، تأمین مالی کردن","to dispute, to finance","Der Angeklagte bestreitet die Vorwürfe.","متهم اتهامات را انکار می کند.","Neutral","","","","bestritten", "bestritt"
"beweisen","اثبات کردن","to prove","Sie konnte ihre Unschuld beweisen.","او توانست بی گناهی خود را اثبات کند.","Neutral","","","","bewiesen", "bewies"
"bringen","آوردن","to bring","Kannst du mir bitte einen Kaffee bringen?","آیا می توانی لطفا برایم یک قهوه بیاوری؟","Neutral","","","","gebracht", "brachte"
"sich bewerben","درخواست دادن (برای شغل)","to apply (for a job)","Er bewirbt sich um eine neue Stelle.","او برای یک شغل جدید درخواست می‌دهد.","Neutral","um + A","","","sich beworben", "bewarb sich"
"beziehen","مرتبط ساختن، اشاره کردن","to refer to, to occupy","Der Artikel bezieht sich auf aktuelle Studien.","این مقاله به مطالعات فعلی اشاره دارد.","Neutral","sich auf + A","","","bezogen", "bezog"
"bieten","پیشنهاد دادن، فراهم کردن","to offer, to provide","Das Hotel bietet einen tollen Ausblick.","هتل یک منظره عالی ارائه می دهد.","Neutral","","","","geboten", "bot"
"bitten","درخواست کردن، خواهش کردن","to ask, to request","Ich möchte dich um Hilfe bitten.","من می‌خواهم از تو کمک بخواهم.","Neutral","um + A","","","gebeten", "bat"
"bleiben","ماندن","to stay, to remain","Wir bleiben heute Abend zu Hause.","ما امشب در خانه می‌مانیم.","Neutral","","","","geblieben", "blieb"
"bringen","آوردن","to bring","Sie bringen die Kinder zur Schule.","آن‌ها بچه‌ها را به مدرسه می‌رسانند.","Neutral","","","","gebracht", "brachte"
"brennen","سوختن","to burn","Das Feuer brennt schnell.","آتش به سرعت می‌سوزد.","Neutral","","","","hat gebrannt","brannte"
"bringen","آوردن","to bring","Kannst du mir bitte das Buch bringen?","لطفاً می‌توانی کتاب را برایم بیاوری؟","Neutral","","","","hat gebracht","brachte"
"denken","فکر کردن","to think","Ich denke oft an meinen Urlaub.","من اغلب به تعطیلاتم فکر می‌کنم.","Neutral","an + A / über + A","","","hat gedacht","dachte"
"dürfen","اجازه داشتن","to be allowed","Du darfst jetzt nach Hause gehen.","اکنون اجازه داری به خانه بروی.","Neutral","","","","hat gedurft","durfte"
"einbinden","ادغام کردن / درگیر کردن","to integrate, to involve","Wir müssen alle Mitglieder in den Prozess einbinden.","ما باید همه اعضا را در فرآیند درگیر کنیم.","Neutral","in + A","","","hat eingebunden","band ein"
"einbringen","مطرح کردن / سهم داشتن","to contribute, to introduce","Jeder Mitarbeiter sollte seine Ideen in das Projekt einbringen.","هر کارمندی باید ایده‌های خود را در پروژه مشارکت دهد.","Neutral","in + A","","","hat eingebracht","brachte ein"
"einfallen","به خاطر آمدن","to occur to (idea)","Mir ist gerade eine gute Lösung eingefallen.","همین الان یک راه حل خوب به ذهنم رسید.","Neutral","Dativ (Person)","","","ist eingefallen","fiel ein"
"eingreifen","دخالت کردن","to intervene","Die Regierung musste in die Krise eingreifen.","دولت مجبور شد در بحران دخالت کند.","Neutral","in + A","","","hat eingegriffen","griff ein"
"einhalten","رعایت کردن / نگه داشتن","to comply with, to adhere to","Wir müssen die strengen Regeln einhalten.","ما باید قوانین سختگیرانه را رعایت کنیم.","Neutral","","","","hat eingehalten","hielt ein"
"empfehlen","توصیه کردن","to recommend","Ich kann dieses Restaurant wärmstens empfehlen.","من می‌توانم این رستوران را به شدت توصیه کنم.","Neutral","","","","hat empfohlen","empfahl"
"empfinden","حس کردن","to feel, to perceive","Er empfindet große Freude an seiner Arbeit.","او شادی زیادی را در کار خود حس می‌کند.","Neutral","","","","hat empfunden","empfand"
"entlassen","اخراج کردن / مرخص کردن","to dismiss, to release","Der Chef musste leider zwei Mitarbeiter entlassen.","متأسفانه رئیس مجبور شد دو کارمند را اخراج کند.","Neutral","","","","hat entlassen","entließ"
"entscheiden","تصمیم گرفتن","to decide","Er muss sich zwischen zwei Optionen entscheiden.","او باید بین دو گزینه تصمیم بگیرد.","Neutral","über + A / für + A","","","hat entschieden","entschied"
"sich entschließen","عزم کردن / تصمیم قاطع گرفتن","to make up one's mind, to resolve","Sie entschloss sich, endlich zu kündigen.","او تصمیم گرفت که بالاخره استعفا دهد.","Neutral","zu + D","","","hat sich entschlossen","entschloss sich"
"entsprechen","مطابقت داشتن","to correspond to, to comply with","Die Qualität entspricht nicht unseren Erwartungen.","کیفیت با انتظارات ما مطابقت ندارد.","Neutral","Dativ (Objekt)","","","hat entsprochen","entsprach"
"entstehen","به وجود آمدن، ناشی شدن","to arise, to originate","Aus einer kleinen Idee kann Großes entstehen.","از یک ایده کوچک می‌تواند چیز بزرگی به وجود آید.","Neutral","aus + D","","","ist entstanden","entstand"
"erfinden","اختراع کردن","to invent","Wer hat das Telefon erfunden?","چه کسی تلفن را اختراع کرد؟","Neutral","","","","hat erfunden","erfand"
"ergeben","منجر شدن به، نتیجه دادن","to yield, to result in","Die Berechnungen haben ein unerwartetes Resultat ergeben.","محاسبات منجر به یک نتیجه غیرمنتظره شده است.","Neutral","","","","hat ergeben","ergab"
"ergreifen","در دست گرفتن، استفاده کردن از","to seize, to grasp","Er musste sofort die Chance ergreifen.","او باید فوراً از این فرصت استفاده می‌کرد.","Neutral","","","","hat ergriffen","ergriff"
"erhalten","دریافت کردن، نگه داشتن","to receive, to obtain","Ich habe die E-Mail gestern erhalten.","من ایمیل را دیروز دریافت کردم.","Neutral","","","","hat erhalten","erhielt"
"erheben","بالا بردن، مطرح کردن","to raise, to lift","Der Staat wird neue Steuern erheben.","دولت مالیات‌های جدیدی وضع خواهد کرد.","Neutral","gegen + A","","","hat erhoben","erhob"
"erhalten","دریافت کردن، نگه داشتن","to receive, to obtain","Er hat eine hohe Auszeichnung erhalten.","او یک جایزه عالی دریافت کرده است.","Neutral","","","","hat erhalten","erhielt"
"erkennen","تشخیص دادن، شناختن","to recognize, to identify","Ich habe ihn sofort an seiner Stimme erkannt.","من او را فوراً از صدایش شناختم.","Neutral","an + D","","","hat erkannt","erkannte"
"erleiden","متحمل شدن، رنج بردن","to suffer, to sustain","Die Mannschaft hat eine schwere Niederlage erlitten.","تیم متحمل یک شکست سنگین شد.","Neutral","","","","hat erlitten","erlitt"
"erschaffen","خلق کردن، آفریدن","to create","Nur Gott kann das Universum erschaffen.","تنها خدا می‌تواند جهان را بیافریند.","Neutral","","","","hat erschaffen","erschuf"
"erscheinen","ظاهر شدن، به نظر رسیدن","to appear, to seem","Das neue Buch ist letzte Woche erschienen.","کتاب جدید هفته گذشته منتشر شد.","Neutral","","","","ist erschienen","erschien"
"erschrecken","ترسیدن، وحشت کردن","to be frightened, to get scared","Der Junge ist vor dem lauten Knall erschrocken.","پسر از صدای بلند وحشت کرد.","Neutral","vor + D","","","ist erschrocken","erschrak"
"fahren","رانندگی کردن، سفر کردن","to drive, to travel","Wir sind mit dem Zug nach Berlin gefahren.","ما با قطار به برلین سفر کردیم.","Neutral","nach + D/A, zu + D","","","ist gefahren","fuhr"
"fallen","افتادن، سقوط کردن","to fall, to drop","Das Glas ist vom Tisch gefallen.","لیوان از روی میز افتاد.","Neutral","auf + A, von + D","","","ist gefallen","fiel"
"festhalten","محکم گرفتن، ثبت کردن","to hold tight, to cling to","Die Polizei hielt den Dieb an der Hand fest.","پلیس دزد را محکم از دستش گرفت.","Neutral","an + D","","","hat festgehalten","hielt fest"
"finden","پیدا کردن","to find","Er muss den Schlüssel finden, der gestern verloren ging.","او باید کلیدی را پیدا کند که دیروز گم شده است.","Neutral","","","","hat gefunden","fand"
"fliehen","فرار کردن","to flee, to escape","Der Gefangene konnte in der Nacht aus dem Gefängnis fliehen.","زندانی توانست شبانه از زندان فرار کند.","Neutral","vor + D","","","ist geflohen","floh"
"frieren","یخ زدن، سرد بودن","to freeze, to be cold","Wenn die Temperatur unter null sinkt, beginnen die Seen zu frieren.","وقتی دما به زیر صفر می‌رسد، دریاچه‌ها شروع به یخ زدن می‌کنند.","Neutral","","","","hat gefroren","fror"
"geben","دادن","to give","Kannst du mir bitte das Salz geben, das auf dem Tisch steht?","لطفاً می‌توانی نمکی را که روی میز است به من بدهی؟","Neutral","","","","hat gegeben","gab"
"gefallen","خوش آمدن، مورد پسند بودن","to please, to like","Die neue Frisur von Maria gefällt mir wirklich sehr gut.","مدل موی جدید ماریا واقعاً برایم بسیار خوشایند است.","Neutral","","","","hat gefallen","gefiel"
"gehen","رفتن، راه رفتن","to go, to walk","Wir müssen jetzt zur Haltestelle gehen, sonst verpassen wir den Bus.","ما باید اکنون به ایستگاه برویم، در غیر این صورت اتوبوس را از دست می‌دهیم.","Neutral","zu + D / nach + D","","","ist gegangen","ging"
"gelingen","موفق شدن، به نتیجه رسیدن","to succeed, to be successful","Die Präsentation ist ihr dank der guten Vorbereitung hervorragend gelungen.","ارائه او به لطف آمادگی خوب، بسیار عالی موفقیت‌آمیز بود.","Neutral","","","","ist gelungen","gelang"
"geschehen","اتفاق افتادن","to happen, to occur","Es ist wichtig zu wissen, was gestern in der Stadt geschehen ist.","مهم است که بدانیم دیروز در شهر چه اتفاقی افتاده است.","Neutral","","","","ist geschehen","geschah"
"gewinnen","برنده شدن، پیروز شدن","to win, to gain","Unser Team konnte das entscheidende Spiel am Ende knapp gewinnen.","تیم ما توانست بازی تعیین کننده را در نهایت با اختلاف کمی ببرد.","Neutral","","","","hat gewonnen","gewann"
"haben","داشتن","to have","Ich muss morgen früh aufstehen, weil ich einen wichtigen Termin habe.","من باید فردا صبح زود بیدار شوم، چون یک قرار مهم دارم.","Neutral","","","","hat gehabt","hatte"
"halten","نگه داشتن، متوقف کردن","to hold, to stop, to keep","Der Busfahrer musste abrupt halten, weil ein Tier auf der Straße stand.","راننده اتوبوس مجبور شد ناگهان توقف کند، چون حیوانی در جاده ایستاده بود.","Neutral","an + A/D","","","hat gehalten","hielt"
"helfen","کمک کردن","to help","Kannst du mir bitte beim Tragen dieser schweren Kisten helfen?","لطفاً می‌توانی در حمل این جعبه‌های سنگین به من کمک کنی؟","Neutral","bei + D","","","hat geholfen","half"
"herausbringen","منتشر کردن، بیرون آوردن","to bring out, to release","Das Unternehmen wird nächsten Monat eine neue Software auf den Markt herausbringen.","شرکت ماه آینده یک نرم‌افزار جدید را به بازار عرضه خواهد کرد.","Neutral","","","","hat herausgebracht","brachte heraus"
"hervorheben","برجسته کردن، تأکید کردن","to emphasize, to highlight","Der Redner wollte die Wichtigkeit der Teamarbeit hervorheben.","سخنران می‌خواست بر اهمیت کار تیمی تأکید کند.","Neutral","","","","hat hervorgehoben","hob hervor"
"hinterlassen","به جا گذاشتن، میراث گذاشتن","to leave behind","Er hat uns eine Notiz mit seiner neuen Adresse hinterlassen.","او یادداشتی با آدرس جدید خود برای ما به جا گذاشت.","Neutral","","","","hat hinterlassen","hinterließ"
"hinweisen","اشاره کردن","to point out/to indicate","Ich möchte dich auf einen wichtigen Termin hinweisen.","من می‌خواهم به یک قرار مهم اشاره کنم.","Neutral","auf + A","","","hat hingewiesen","wies hin"
"kennen","شناختن","to know","Kennen Sie den neuen Kollegen?","آیا همکار جدید را می‌شناسید؟","Neutral","","","","hat gekannt","kannte"
"klingen","صدا دادن","to sound","Das Angebot klingt sehr verlockend.","این پیشنهاد بسیار اغواکننده به نظر می‌رسد.","Neutral","nach + D","","","hat geklungen","klang"
"können","توانستن","can/to be able to","Kannst du mir bei dieser Aufgabe helfen?","آیا می‌توانی در این تکلیف به من کمک کنی؟","Neutral","","","","hat gekonnt","konnte"
"kommen","آمدن","to come","Wir kommen morgen pünktlich zur Besprechung.","ما فردا به موقع برای جلسه می‌آییم.","Neutral","zu + D","","","ist gekommen","kam"
"lassen","اجازه دادن","to let/to leave","Er lässt die Kinder im Garten spielen.","او اجازه می‌دهد بچه‌ها در باغ بازی کنند.","Neutral","","","","hat gelassen","ließ"
"laufen","دویدن/راه رفتن","to run/to walk","Bist du gestern den ganzen Weg gelaufen?","آیا دیروز تمام مسیر را دویدی؟","Neutral","","","","ist gelaufen","lief"
"leiden","رنج بردن","to suffer","Viele Menschen leiden unter dem ständigen Stress.","بسیاری از مردم از استرس مداوم رنج می‌برند.","Neutral","unter + D","","","hat gelitten","litt"
"lesen","خواندن","to read","Ich lese gerade einen spannenden Roman.","من در حال خواندن یک رمان هیجان‌انگیز هستم.","Neutral","","","","hat gelesen","las"
"liegen","دراز کشیدن/واقع بودن","to lie/to be located","Der Schlüssel liegt auf dem Tisch.","کلید روی میز قرار دارد.","Neutral","auf + D","","","hat gelegen","lag"
"messen","اندازه گرفتن","to measure","Der Techniker misst die Spannung der Batterie.","تکنسین ولتاژ باتری را اندازه می‌گیرد.","Neutral","","","","hat gemessen","maß"
"mögen","دوست داشتن","to like","Ich mag dieses Gericht besonders gern.","من این غذا را به ویژه دوست دارم.","Neutral","","","","hat gemocht","mochte"
"müssen","باید/مجبور بودن","must/to have to","Wir müssen heute Abend früher ins Bett gehen.","ما باید امشب زودتر به رختخواب برویم.","Neutral","","","","hat gemusst","musste"
"nachdenken","فکر کردن/تأمل کردن","to reflect/to think about","Sie muss über das Angebot lange nachdenken.","او باید مدت‌ها در مورد پیشنهاد فکر کند.","Neutral","über + A","","","hat nachgedacht","dachte nach"
"nachvollziehen","درک کردن/فهمیدن","to comprehend/to understand","Ich kann deine Entscheidung nicht nachvollziehen.","من نمی‌توانم تصمیم شما را درک کنم.","Neutral","","","","hat nachvollzogen","vollzog nach"
"nachweisen","اثبات کردن","to prove, to verify","Er muss seine Identität mit seinem Ausweis nachweisen.","او باید هویت خود را با کارت شناسایی خود اثبات کند.","Neutral","","","","hat nachgewiesen", "wies nach"
"nehmen","گرفتن","to take","Bitte nimm dir Zeit für diese wichtige Aufgabe.","لطفا برای این کار مهم وقت بگذارید.","Neutral","","","","hat genommen", "nahm"
"nennen","نامیدن","to name, to call","Er konnte den Namen des Zeugen nicht nennen.","او نتوانست نام شاهد را بگوید.","Neutral","","","","hat genannt", "nannte"
"raten","توصیه کردن / حدس زدن","to advise, to guess","Ich rate dir, viel Wasser zu trinken.","من به شما توصیه می‌کنم که آب زیادی بنوشید.","Neutral","zu + D","","","hat geraten", "riet"
"reißen","پاره کردن","to tear, to rip","Sei vorsichtig, damit du das Papier nicht reißt.","مراقب باش که کاغذ را پاره نکنی.","Neutral","","","","hat gerissen", "riss"
"rufen","صدا کردن","to call, to shout","Die Mutter ruft ihren Sohn zum Abendessen.","مادر پسرش را برای شام صدا می‌کند.","Neutral","","","","hat gerufen", "rief"
"schaffen","خلق کردن / آفرینش","to create, to achieve","Die Künstler schaffen ein beeindruckendes Werk.","هنرمندان یک اثر هنری چشمگیر خلق می‌کنند.","Neutral","","","","hat geschaffen", "schuf"
"scheinen","تابیدن / به نظر رسیدن","to shine, to seem","Die Sonne scheint heute sehr hell.","خورشید امروز خیلی روشن می‌تابد.","Neutral","","","","hat geschienen", "schien"
"schlafen","خوابیدن","to sleep","Er schläft nur sechs Stunden pro Nacht.","او فقط شش ساعت در شب می‌خوابد.","Neutral","","","","hat geschlafen", "schlief"
"schließen","بستن","to close, to conclude","Vergiss nicht, die Tür zu schließen, wenn du gehst.","فراموش نکن که هنگام رفتن، در را ببندی.","Neutral","","","","hat geschlossen", "schloss"
"schreiben","نوشتن","to write","Sie schreibt einen langen Brief an ihre Familie.","او یک نامه بلند برای خانواده‌اش می‌نویسد.","Neutral","","","","hat geschrieben", "schrieb"
"sehen","دیدن","to see","Ich sehe den Baum deutlich am Horizont.","من درخت را به وضوح در افق می‌بینم.","Neutral","","","","hat gesehen", "sah"
"sein","بودن","to be","Er ist der beste Schüler in der Klasse.","او بهترین دانش‌آموز کلاس است.","Neutral","","","","ist gewesen", "war"
"sitzen","نشستن","to sit","Wir sitzen gerade im Wartezimmer.","ما الان در اتاق انتظار نشسته‌ایم.","Neutral","","","","hat gesessen", "saß"
"sollen","باید / مکلّف بودن","should, ought to","Du sollst deine Hausaufgaben machen, bevor du spielst.","تو باید قبل از بازی تکالیفت را انجام دهی.","Neutral","","","","hat gesollt", "sollte"
"spinnen","ریسیدن","to spin","Die Katze spinnt Fäden für ihr Netz.","گربه برای تارش نخ می‌ریسد.","Neutral","","","","hat gesponnen", "spann"
"sprechen","صحبت کردن","to speak","Er spricht fließend Deutsch und Englisch.","او روان آلمانی و انگلیسی صحبت می‌کند.","Neutral","mit + D, über + A","","","hat gesprochen", "sprach"
"stattfinden","برگزار شدن","to take place","Das Konzert findet am Samstagabend statt.","کنسرت شنبه شب برگزار می‌شود.","Neutral","","","","hat stattgefunden", "fand statt"
"stehen","ایستادن","to stand","Das Auto steht in der Garage.","ماشین در گاراژ ایستاده است.","Neutral","auf + D, vor + D","","","hat gestanden", "stand"
"steigen","بالا رفتن","to climb, to rise","Die Preise für Benzin sind stark gestiegen.","قیمت بنزین به شدت افزایش یافته است.","Neutral","auf + A","","","ist gestiegen", "stieg"
"tragen","حمل کردن، پوشیدن","to carry, to wear","Sie trägt heute ein rotes Kleid.","او امروز یک لباس قرمز پوشیده است.","Neutral","","","","hat getragen", "trug"
"treffen","ملاقات کردن","to meet, to hit","Ich treffe meine Freunde immer am Wochenende.","من همیشه آخر هفته دوستانم را ملاقات می‌کنم.","Neutral","sich + mit + D","","","hat getroffen", "traf"
"treten","لگد زدن","to step, to kick","Der Spieler tritt den Ball hart ins Tor.","بازیکن توپ را محکم به سمت دروازه شوت می‌کند.","Neutral","in + A/D, auf + A/D","","","hat getreten", "trat"
"trinken","نوشیدن","to drink","Er trinkt jeden Morgen eine Tasse Kaffee.","او هر روز صبح یک فنجان قهوه می‌نوشد.","Neutral","","","","hat getrunken", "trank"
"tun","انجام دادن","to do, to put","Was tust du gerade?","الان داری چکار می‌کنی؟","Neutral","","","","hat getan", "tat"
"übernehmen","به عهده گرفتن","to take over, to assume","Er muss die Verantwortung für das Projekt übernehmen.","او باید مسئولیت پروژه را به عهده بگیرد.","Neutral","","","","hat übernommen", "übernahm"
"überweisen","انتقال دادن پول","to transfer (money)","Ich muss die Miete auf das Konto überweisen.","من باید اجاره را به حساب واریز کنم.","Neutral","auf + A","","","hat überwiesen", "überwies"
"sich überwinden","بر خود غلبه کردن","to overcome oneself","Er hat sich endlich überwunden, seine Angst zu besiegen.","او سرانجام بر خود غلبه کرد تا بر ترسش پیروز شود.","Neutral","zu + D","","","hat sich überwunden", "überwand sich"
"umgehen","رفتار کردن با","to deal with, to handle","Man sollte vorsichtig mit gefährlichen Chemikalien umgehen.","باید با مواد شیمیایی خطرناک با احتیاط رفتار کرد.","Neutral","mit + D","","","ist umgegangen", "ging um"
"sich unterhalten","گفتگو کردن","to chat, to converse","Sie unterhalten sich lange über ihre Reisepläne.","آنها مدت زیادی در مورد برنامه های سفرشان گفتگو می‌کنند.","Neutral","über + A, mit + D","","","hat sich unterhalten", "unterhielt sich"
"unterscheiden","تمایز قائل شدن","to distinguish, to differentiate","Man muss gute von schlechten Ratschlägen unterscheiden können.","باید بتوان توصیه های خوب را از بد تشخیص داد.","Neutral","von + D","","","hat unterschieden","unterschied"
"unterschreiben","امضا کردن","to sign","Bitte vergessen Sie nicht, den Vertrag am Ende zu unterschreiben.","لطفا فراموش نکنید که قرارداد را در پایان امضا کنید.","Neutral","","","","hat unterschrieben","unterschrieb"
"verbinden","وصل کردن","to connect, to link","Ich muss diesen Draht mit der Batterie verbinden.","من باید این سیم را به باتری وصل کنم.","Neutral","mit + D","","","hat verbunden","verband"
"verfallen","منقضی شدن","to expire, to fall into ruin","Achtung, der Gutschein ist morgen schon verfallen.","توجه، کوپن فردا منقضی می شود.","Neutral","auf + A","","","ist verfallen","verfiel"
"vergeben","بخشیدن","to forgive, to allocate","Es ist wichtig, Fehler zu vergeben, um voranzukommen.","مهم است که برای پیشرفت، خطاها را ببخشیم.","Neutral","","","","hat vergeben","vergab"
"vergessen","فراموش کردن","to forget","Er hat vergessen, den Herd auszuschalten, bevor er ging.","او فراموش کرد قبل از رفتن، اجاق گاز را خاموش کند.","Neutral","","","","hat vergessen","vergaß"
"vergleichen","مقایسه کردن","to compare","Bevor du kaufst, solltest du die Preise vergleichen.","قبل از خرید، باید قیمت ها را مقایسه کنی.","Neutral","mit + D","","","hat verglichen","verglich"
"sich verhalten","رفتار کردن","to behave","Die Kinder sollen sich im Museum ruhig verhalten.","کودکان باید در موزه آرام رفتار کنند.","Neutral","","","","hat sich verhalten","verhielt sich"
"verlassen","ترک کردن","to leave, to rely on","Sie muss das Haus um sieben Uhr verlassen.","او باید ساعت هفت خانه را ترک کند.","Neutral","sich auf + A","","","hat verlassen","verließ"
"verlieren","باختن، گم کردن","to lose","Ich hoffe, wir werden das wichtige Spiel nicht verlieren.","امیدوارم بازی مهم را نبازیم.","Neutral","","","","hat verloren","verlor"
"vermeiden","اجتناب کردن","to avoid","Man sollte unnötigen Stress im Alltag vermeiden.","باید از استرس غیر ضروری در زندگی روزمره اجتناب کرد.","Neutral","","","","hat vermieden","vermied"
