Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
beschäftigen (sich),مشغول بودن / سرگرم بودن,to occupy oneself / deal with,Ich beschäftige mich gerne mit meinen Kindern.,من دوست دارم با فرزندانم سرگرم باشم.,Neutral,mit + D,,-
Computerprogramm,برنامه کامپیوتری,computer program,Das Computerprogramm hilft mir bei der Arbeit.,برنامه کامپیوتری در کار به من کمک می‌کند.,Neutral,,das,die Computerprogramme
Foto-AG,انجمن عکاسی,photography club,Ich bin in der Foto-AG.,من در انجمن عکاسی هستم.,Neutral,,die,die Foto-AGs
Schwäche,ضعف,weakness,Jeder hat seine Stärken und Schwächen.,هر کس نقاط قوت و ضعف خود را دارد.,Neutral,,die,die Schwächen
Stärke,قوت / استحکام,strength,Geduld ist seine Stärke.,صبر نقطه قوت اوست.,Neutral,,die,die Stärken
anhand,بر اساس / با استفاده از,on the basis of,Anhand der Daten können wir das beweisen.,بر اساس داده‌ها می‌توانیم این را ثابت کنیم.,Neutral,,(Präp + G),-
gegenseitig,متقابل / دوطرفه,mutual,Gegenseitiger Respekt ist wichtig.,احترام متقابل مهم است.,Neutral,,-,(Adj)
Bewerber,متقاضی / داوطلب,applicant,Es gibt viele Bewerber für die Stelle.,متقاضیان زیادی برای این شغل وجود دارند.,Neutral,,der,die Bewerber
Hausmeisterfamilie,خانواده سرایدار,caretaker's family,Die Hausmeisterfamilie wohnt im Erdgeschoss.,خانواده سرایدار در طبقه همکف زندگی می‌کند.,Neutral,,die,die Hausmeisterfamilien
Hausmeisterwohnung,آپارتمان سرایدار,caretaker's apartment,Die Hausmeisterwohnung ist klein.,آپارتمان سرایدار کوچک است.,Neutral,,die,die Hausmeisterwohnungen
Interessent,علاقه‌مند / متقاضی,interested person,Es gibt einen Interessenten für das Haus.,یک متقاضی برای خانه وجود دارد.,Neutral,,der,die Interessenten
Koch,آشپز,cook / chef,Der Koch bereitet das Essen zu.,آشپز غذا را آماده می‌کند.,Neutral,,der,die Köche
Abbildung,تصویر / شکل,illustration / figure,Siehe Abbildung 1.,به تصویر ۱ مراجعه کنید.,Neutral,,die,die Abbildungen
Handball,هندبال,handball,Wir spielen Handball.,ما هندبال بازی می‌کنیم.,Neutral,,der,-
Karate,کاراته,karate,Er macht Karate.,او کاراته کار می‌کند.,Neutral,,das,-
Leichtathletik,دو و میدانی,athletics,Leichtathletik macht mir Spaß.,دو و میدانی برایم لذت‌بخش است.,Neutral,,die,-
Motorsport,ورزش‌های موتوری,motorsport,Motorsport ist teuer.,ورزش‌های موتوری گران است.,Neutral,,der,-
rudern,پارو زدن / قایقرانی کردن,to row,Wir rudern auf dem See.,ما در دریاچه قایقرانی می‌کنیم.,Neutral,,-,(Verb)
Sportart,رشته ورزشی,type of sport,Welche Sportart magst du?,چه رشته ورزشی را دوست داری؟,Neutral,,die,die Sportarten
tauchen,غواصی کردن,to dive,Im Urlaub möchte ich tauchen.,در تعطیلات می‌خواهم غواصی کنم.,Neutral,,-,(Verb)
beziehungsweise,یا / به عبارت دیگر,respectively / or,Ich komme heute beziehungsweise morgen.,من امروز یا فردا می‌آیم.,Neutral,,-,(Konj)
Fitnesstrainer,مربی بدنسازی,fitness trainer,Der Fitnesstrainer zeigt mir die Übung.,مربی بدنسازی تمرین را به من نشان می‌دهد.,Neutral,,der,die Fitnesstrainer
Fitnesstraining,تمرین بدنسازی,fitness training,Das Fitnesstraining ist anstrengend.,تمرین بدنسازی خسته‌کننده است.,Neutral,,das,die Fitnesstrainings
Nationalsport,ورزش ملی,national sport,Fußball ist Nationalsport.,فوتبال ورزش ملی است.,Neutral,,der,-
Radionachricht,خبر رادیویی,radio news,Ich habe die Radionachricht gehört.,من خبر رادیویی را شنیدم.,Neutral,,die,die Radionachrichten
Küchentisch,میز آشپزخانه,kitchen table,Wir essen am Küchentisch.,ما سر میز آشپزخانه غذا می‌خوریم.,Neutral,,der,die Küchentische
Wochenblättchen,هفته‌نامه محلی,local weekly paper,Das Wochenblättchen kommt am Samstag.,هفته‌نامه محلی شنبه می‌آید.,Neutral,,das,die Wochenblättchen
achtstündig,هشت‌ساعته,eight-hour,Der Arbeitstag ist achtstündig.,روز کاری هشت‌ساعته است.,Neutral,,-,(Adj)
Aerobic,ایروبیک,aerobics,Aerobic ist gut für die Kondition.,ایروبیک برای آمادگی جسمانی خوب است.,Neutral,,das,-
Allee,خیابان مشجر / بلوار,avenue / boulevard,Die Allee ist mit Bäumen gesäumt.,خیابان مشجر با درختان پوشیده شده است.,Neutral,,die,die Alleen
Anfängerkurs,دوره مقدماتی,beginners' course,Ich besuche einen Anfängerkurs.,من در یک دوره مقدماتی شرکت می‌کنیم.,Neutral,,der,die Anfängerkurse
Aqua-Fitnesskurs,کلاس فیتنس در آب,aqua fitness course,Der Aqua-Fitnesskurs macht Spaß.,کلاس فیتنس در آب لذت‌بخش است.,Neutral,,der,die Aqua-Fitnesskurse
August,اوت (ماه),August,Im August ist es heiß.,در اوت هوا گرم است.,Neutral,,der,-
Ausdauertraining,تمرین استقامتی,endurance training,Laufen ist ein gutes Ausdauertraining.,دویدن یک تمرین استقامتی خوب است.,Neutral,,das,die Ausdauertrainings
Ausstattung,تجهیزات / امکانات,equipment / facilities,Die Ausstattung des Hotels ist modern.,تجهیزات هتل مدرن است.,Neutral,,die,die Ausstattungen
Ballett,باله,ballet,Sie tanzt Ballett.,او باله می‌رقصد.,Neutral,,das,die Ballette
befreien,آزاد کردن / معاف کردن,to free / exempt,Er hat sich von den Schmerzen befreit.,او خودش را از دردها آزاد کرد.,Neutral,von + D,,-
begrenzt,محدود,limited,Die Plätze sind begrenzt.,جاها محدود هستند.,Neutral,,-,(Adj)
Breakdance,بریک‌دنس,breakdance,Breakdance erfordert viel Übung.,بریک‌دنس نیاز به تمرین زیاد دارد.,Neutral,,der,-
Disco Fox,دیسکو فاکس (رقص),Disco Fox,Wir tanzen gerne Disco Fox.,ما دوست داریم دیسکو فاکس برقصیم.,Neutral,,der,die Disco Fox
donnerstags,پنج‌شنبه‌ها,on Thursdays,Donnerstags habe ich Training.,پنج‌شنبه‌ها من تمرین دارم.,Neutral,,-,(Adv)
einjährig,یک‌ساله,one-year,Der Vertrag ist einjährig.,قرارداد یک‌ساله است.,Neutral,,-,(Adj)
Eltern-Kind-Schwimmen,شنای والدین و کودک,parent-child swimming,Wir gehen zum Eltern-Kind-Schwimmen.,ما به شنای والدین و کودک می‌رویم.,Neutral,,das,-
exklusiv,انحصاری / لوکس,exclusive,Das Angebot ist exklusiv für Mitglieder.,این پیشنهاد منحصراً برای اعضا است.,Neutral,,-,(Adj)
Fitnessclub,باشگاه تناسب اندام,fitness club,Ich trainiere im Fitnessclub.,من در باشگاه تناسب اندام تمرین می‌کنم.,Neutral,,der,die Fitnessclubs
Fitnessgymnastik,ژیمناستیک تناسب اندام,fitness gymnastics,Fitnessgymnastik hält fit.,ژیمناستیک تناسب اندام بدن را متناسب نگه می‌دارد.,Neutral,,die,die Fitnessgymnastiken
Fitnessprogramm,برنامه تناسب اندام,fitness program,Mein Fitnessprogramm ist anstrengend.,برنامه تناسب اندام من سخت است.,Neutral,,das,die Fitnessprogramme
fortgeschritten,پیشرفته,advanced,Dieser Kurs ist für Fortgeschrittene.,این دوره برای افراد پیشرفته است.,Neutral,,-,(Adj)
Foxtrott,فاکس‌ترات (رقص),Foxtrot,Können Sie Foxtrott tanzen?,آیا می‌توانید فاکس‌ترات برقصید؟,Neutral,,der,die Foxtrotts
Freizeit-Sportprogramm,برنامه ورزشی اوقات فراغت,leisure sports program,Das Freizeit-Sportprogramm ist vielfältig.,برنامه ورزشی اوقات فراغت متنوع است.,Neutral,,das,die Freizeit-Sportprogramme
Fußballmannschaft,تیم فوتبال,soccer team,Unsere Fußballmannschaft hat gewonnen.,تیم فوتبال ما برنده شد.,Neutral,,die,die Fußballmannschaften
Gesellschaftstanz,رقص مجلسی / رقص دو نفره,ballroom dance,Wir lernen Gesellschaftstanz.,ما رقص مجلسی یاد می‌گیریم.,Neutral,,der,die Gesellschaftstänze
Grundschritt,گام پایه / حرکت اصلی,basic step,Zuerst lernen wir den Grundschritt.,اول گام پایه را یاد می‌گیریم.,Neutral,,der,die Grundschritte
Gymnastik-Kurs,کلاس ژیمناستیک,gymnastics course,Der Gymnastik-Kurs findet montags statt.,کلاس ژیمناستیک دوشنبه‌ها برگزار می‌شود.,Neutral,,der,die Gymnastik-Kurse
Hallenbad,استخر سرپوشیده,indoor swimming pool,Im Winter gehen wir ins Hallenbad.,در زمستان به استخر سرپوشیده می‌رویم.,Neutral,,das,die Hallenbäder
halten,نگه داشتن / ماندن (جوان ماندن),to keep / stay (young),Sport hält jung.,ورزش انسان را جوان نگه می‌دارد.,Neutral,,-,(Verb)
Inserat,آگهی / تبلیغ,advertisement,Ich habe das Inserat in der Zeitung gesehen.,من آگهی را در روزنامه دیدم.,Neutral,,das,die Inserate
Katalog,کاتالوگ,catalog,Der neue Katalog ist da.,کاتالوگ جدید رسیده است.,Neutral,,der,die Kataloge
Kickboxen,کیک‌بوکسینگ,kickboxing,Kickboxen ist ein Kampfsport.,کیک‌بوکسینگ یک ورزش رزمی است.,Neutral,,das,-
klassisch,کلاسیک,classical,Ich mag klassische Musik.,من موسیقی کلاسیک دوست دارم.,Neutral,,-,(Adj)
Kursnummer,شماره دوره,course number,Die Kursnummer steht auf der Anmeldung.,شماره دوره روی برگه ثبت‌نام نوشته شده است.,Neutral,,die,die Kursnummern
Kursstart,شروع دوره,course start,Wann ist der Kursstart?,شروع دوره چه زمانی است؟,Neutral,,der,die Kursstarts
Mitgliedsbeitrag,حق عضویت,membership fee,Der Mitgliedsbeitrag ist jährlich fällig.,حق عضویت سالانه باید پرداخت شود.,Neutral,,der,die Mitgliedsbeiträge
Mitgliedschaft,عضویت,membership,Ich möchte meine Mitgliedschaft kündigen.,من می‌خواهم عضوریتم را لغو کنم.,Neutral,,die,die Mitgliedschaften
montags,دوشنبه‌ها,on Mondays,Montags ist das Bad geschlossen.,دوشنبه‌ها استخر بسته است.,Neutral,,-,(Adv)
Münchner,مونیخی (اهل مونیخ),Munich (adj),Die Münchner Hallenbäder sind schön.,استخرهای سرپوشیده مونیخی زیبا هستند.,Neutral,,-,(Adj)
Oktober,اکتبر (ماه),October,Im Oktober fallen die Blätter.,در اکتبر برگ‌ها می‌ریزند.,Neutral,,der,-
Parkmöglichkeit,امکان پارک,parking possibility,Gibt es hier eine Parkmöglichkeit?,آیا اینجا امکان پارک وجود دارد؟,Neutral,,die,die Parkmöglichkeiten
Programmheft,دفترچه برنامه,program booklet,Das Programmheft liegt am Eingang.,دفترچه برنامه در ورودی قرار دارد.,Neutral,,das,die Programmhefte
September,سپتامبر (ماه),September,Der Kurs beginnt im September.,دوره در سپتامبر شروع می‌شود.,Neutral,,der,-
Tauchkurs,کلاس غواصی,diving course,Ich mache einen Tauchkurs im Urlaub.,من در تعطیلات یک کلاس غواصی می‌گذرانم.,Neutral,,der,die Tauchkurse
Teilnehmerzahl,تعداد شرکت‌کنندگان,number of participants,Die Teilnehmerzahl ist begrenzt.,تعداد شرکت‌کنندگان محدود است.,Neutral,,die,die Teilnehmerzahlen
Tormann,دروازه‌بان,goalkeeper,Der Tormann hat den Ball gehalten.,دروازه‌بان توپ را گرفت.,Neutral,,der,die Tormänner
Trainingsfläche,محوطه تمرین,training area,Die Trainingsfläche ist groß.,محوطه تمرین بزرگ است.,Neutral,,die,die Trainingsflächen
Turnerkränzchen,دورهمی ژیمناست‌ها (محاوره اتریشی/جنوبی),gymnasts' social gathering,Wir gehen zum Turnerkränzchen.,ما به دورهمی ژیمناست‌ها می‌رویم.,Neutral,,das,-
Turnhalle,سالن ورزشی,gym / sports hall,Der Sportunterricht ist in der Turnhalle.,کلاس ورزش در سالن ورزشی است.,Neutral,,die,die Turnhallen
Turnkurs,کلاس ژیمناستیک / نرمش,gymnastics class,Meine Tochter besucht einen Turnkurs.,دخترم در یک کلاس ژیمناستیک شرکت می‌کند.,Neutral,,der,die Turnkurse
Wassergymnastik,ژیمناستیک در آب,water aerobics,Wassergymnastik ist gut für die Gelenke.,ژیمناستیک در آب برای مفاصل خوب است.,Neutral,,die,-
Wiener Walzer,والس وینی,Viennese waltz,Der Wiener Walzer ist ein schneller Tanz.,والس وینی یک رقص سریع است.,Neutral,,der,-
Wochenendkurs,دوره آخر هفته,weekend course,Wir machen einen Wochenendkurs.,ما یک دوره آخر هفته می‌گذرانیم.,Neutral,,der,die Wochenendkurse
daraus,از آن / از این,from it / out of it,Was hast du daraus gelernt?,از آن چه یاد گرفتی؟,Neutral,,-,(Adv)
Fitnesskurs,کلاس تناسب اندام,fitness class,Der Fitnesskurs ist voll.,کلاس تناسب اندام پر است.,Neutral,,der,die Fitnesskurse
na gut,بسیار خب / باشه,all right / okay,Na gut, ich mache mit.,بسیار خب، من هم هستم.,Neutral,,-,(Phrase)
Notizzettel,برگه یادداشت,note paper,Ich schreibe es auf einen Notizzettel.,من آن را روی یک برگه یادداشت می‌نویسم.,Neutral,,der,die Notizzettel
Autorennen,مسابقه اتومبیل‌رانی,car race,Wir schauen ein Autorennen an.,ما یک مسابقه اتومبیل‌رانی تماشا می‌کنیم.,Neutral,,das,die Autorennen
Erholung,استراحت / ریکاوری,relaxation / recovery,Ich brauche dringend Erholung.,من فوراً به استراحت نیاز دارم.,Neutral,,die,-
überreden,متقاعد کردن (با اصرار),to persuade,Er hat mich überredet, mitzukommen.,او مرا متقاعد کرد که همراهش بروم.,Neutral,,-,(Verb)
zweimal,دو بار,twice,Ich gehe zweimal pro Woche zum Sport.,من دو بار در هفته به ورزش می‌روم.,Neutral,,-,(Adv)
Malkurs,کلاس نقاشی,painting course,Ich habe mich für einen Malkurs angemeldet.,من در یک کلاس نقاشی ثبت‌نام کردم.,Neutral,,der,die Malkurse
Jogginghose,شلوار گرمکن,sweatpants,Zieh deine Jogginghose an.,شلوار گرمکن‌ت را بپوش.,Neutral,,die,die Jogginghosen
Sporttasche,ساک ورزشی,sports bag,Meine Sporttasche ist gepackt.,ساک ورزشی من بسته شده است.,Neutral,,die,die Sporttaschen
Stellung,موقعیت / وضعیت,position,Er hat eine hohe Stellung in der Firma.,او موقعیت بالایی در شرکت دارد.,Neutral,,die,die Stellungen
Tennisschläger,راکت تنیس,tennis racket,Der Tennisschläger ist neu.,راکت تنیس نو است.,Neutral,,der,die Tennisschläger
Trikot,پیراهن ورزشی,jersey,Die Mannschaft trägt rote Trikots.,تیم پیراهن‌های قرمز می‌پوشد.,Neutral,,das,die Trikots
Ergänzung,مکمل / ضمیمه,addition / supplement,Das ist eine gute Ergänzung.,این یک مکمل خوب است.,Neutral,,die,die Ergänzungen
Handschrift,دست‌خط,handwriting,Er hat eine schöne Handschrift.,او دست‌خط زیبایی دارد.,Neutral,,die,die Handschriften
bekanntlich,همانطور که می‌دانید,as is well known,Rauchen ist bekanntlich ungesund.,همانطور که می‌دانید سیگار کشیدن ناسالم است.,Neutral,,-,-
bestehen,تشکیل شدن,to consist of,Ein Team besteht aus fünf Läufern.,یک تیم از پنج دونده تشکیل می‌شود.,Neutral,aus + D,,-
dabei sein,حضور داشتن / شرکت کردن,to be there / take part,Dabei sein ist alles.,شرکت کردن مهم‌ترین چیز است.,Neutral,,-,-
diesjährig,امسال / مربوط به امسال,this year's,Das diesjährige Fest war schön.,جشن امسال زیبا بود.,Neutral,,-,(Adj)
gleichberechtigt,دارای حقوق برابر,equal,Männer und Frauen sind gleichberechtigt.,مردان و زنان دارای حقوق برابر هستند.,Neutral,,-,(Adj)
großzügig,سخاوتمند / دلباز,generous,Das Wohnzimmer ist sehr großzügig geschnitten.,اتاق نشیمن بسیار دلباز طراحی شده است.,Neutral,,-,(Adj)
kräftig,قوی / نیرومند,strong / powerful,Er hat einen kräftigen Händedruck.,او دست دادن محکمی دارد.,Neutral,,-,(Adj)
Lauf,دو / مسابقه دو,run / race,Der Lauf beginnt um 10 Uhr.,مسابقه دو ساعت ۱۰ شروع می‌شود.,Neutral,,der,die Läufe
Läufer,دونده,runner,Der Läufer ist sehr schnell.,دونده بسیار سریع است.,Neutral,,der,die Läufer
männlich,مردانه / مذکر,male,Der Täter war männlich.,مجرم مرد بود.,Neutral,,-,(Adj)
Mitläufer,همراه / دنباله‌رو,fellow runner / follower,Er ist nur ein Mitläufer.,او فقط یک دنباله‌رو است.,Neutral,,der,die Mitläufer
nebenbei,در ضمن / ضمناً,by the way / incidentally,Ich arbeite nebenbei als Kellner.,من در ضمن (کار اصلی) به عنوان گارسون کار می‌کنم.,Neutral,,-,(Adv)
Outfit,لباس / تیپ,outfit,Dein Outfit gefällt mir.,تیپ تو را دوست دارم.,Neutral,,das,die Outfits
Staffellauf,دو امدادی,relay race,Wir nehmen am Staffellauf teil.,ما در دو امدادی شرکت می‌کنیم.,Neutral,,der,die Staffelläufe
super-sportlich,بسیار ورزشکار,super athletic,Er ist super-sportlich.,او بسیار ورزشکار است.,Neutral,,-,(Adj)
weiblich,زنانه / مؤنث,female,Die Katze ist weiblich.,گربه ماده است.,Neutral,,-,(Adj)
Weltmeisterschaft,جام جهانی / مسابقات جهانی,world championship,Wir schauen die Fußball-Weltmeisterschaft.,ما جام جهانی فوتبال را تماشا می‌کنیم.,Neutral,,die,die Weltmeisterschaften
Wettbewerb,مسابقه / رقابت,competition,Ich habe den Wettbewerb gewonnen.,من در مسابقه برنده شدم.,Neutral,,der,die Wettbewerbe
wetten,شرط بستن,to bet,Ich wette, dass es regnet.,من شرط می‌بندم که باران می‌بارد.,Neutral,,-,(Verb)
