Deutsch,Farsi,English,Beispielsatz,Beispielsatz_Farsi,Status,Präposition,Artikel,Plural
frei sein,آزاد/عاری بودن,to be free (of),Das Dokument muss frei von Tippfehlern sein.,سند باید عاری از اشتباهات تایپی باشد.,Neutral,von + D,,
befreundet sein,دوست بودن,to be friends with,Bist du mit deinem neuen Kollegen befreundet?,آیا با همکار جدیدت دوست هستی؟,Neutral,mit + D,,
sich begeistern,مشتاق بودن,to be enthusiastic,Das Publikum begeisterte sich für die innovative Darbietung.,تماشاگران مشتاق اجرای نوآورانه بودند.,Neutral,für + A,,
begeistert,مشتاق / هیجان‌زده,enthusiastic,Ich bin von seiner Energie begeistert.,من از انرژی او هیجان‌زده هستم.,Neutral,von + D,,
beginnen,شروع کردن / آغاز,to begin / beginning,Der Beginn des Projekts ist mit einer Besprechung verbunden.,آغاز پروژه با یک جلسه در ارتباط است.,Neutral,mit + D,der,Die Anfänge
behandeln,درمان کردن / برخورد,to treat / treatment,Der Arzt behandelt die Wunde mit einem speziellen Verband.,دکتر زخم را با یک باند مخصوص درمان می‌کند.,Neutral,mit + D,die,Die Behandlungen
beitragen,مشارکت کردن / کمک,to contribute / contribution,Jeder sollte einen Beitrag zum Umweltschutz leisten.,هر کسی باید کمکی به حفظ محیط زیست بکند.,Neutral,zu + D,der,Die Beiträge
bekannt,معروف / شناخته شده,known,Die Stadt ist bekannt für ihre historischen Gebäude.,این شهر به خاطر ساختمان‌های تاریخی‌اش معروف است.,Neutral,für + A / durch + A,,
bekannt,آشنایی / آشنا,acquainted,Er ist mit dem neuen Kollegen bekannt.,او با همکار جدید آشنا است.,Neutral,mit + D,die,Die Bekanntschaften
sich beklagen,شکایت کردن / شکوه,to complain / complaint,Die Kunden beklagen sich oft über den schlechten Service.,مشتریان اغلب از خدمات ضعیف شکایت می‌کنند.,Neutral,über + A,die,Die Klagen
sich bemühen,تلاش کردن / کوشش,to strive / effort,Er bemüht sich sehr um eine Beförderung.,او برای یک ترفیع بسیار تلاش می‌کند.,Neutral,um + A,die,Die Bemühungen
die Bereitschaft,آمادگی / آماده,readiness / ready,Sie zeigte große Bereitschaft zu helfen.,او آمادگی زیادی برای کمک کردن نشان داد.,Neutral,zu + D / für + A,die,
berichten,گزارش دادن / خبر دادن,to report / report,Der Journalist berichtet über die aktuellen politischen Ereignisse.,روزنامه‌نگار در مورد رویدادهای سیاسی کنونی گزارش می‌دهد.,Neutral,über + A / von + D,der,Die Berichte
berühmt,شهرت / مشهور,famous,Der Maler ist berühmt für seine einzigartigen Porträts.,این نقاش به خاطر پرتره‌های منحصر به فردش مشهور است.,Neutral,für + A,die,Die Berühmtheiten
beschäftigen,مشغول بودن / اشتغال,to occupy / busy,Sie beschäftigt sich den ganzen Tag mit der Recherche.,او تمام روز مشغول تحقیق است.,Neutral,mit + D,die,Die Beschäftigungen
sich beschweren,شکایت کردن / گلایه,to complain / complaint,Er beschwerte sich über die lange Wartezeit.,او از زمان انتظار طولانی شکایت کرد.,Neutral,über + A / bei + D,die,Die Beschwerden
bestellen,سفارش دادن / سفارش,to order / order,Wir bestellen das Essen immer bei einem lokalen Restaurant.,ما همیشه غذا را از یک رستوران محلی سفارش می‌دهیم.,Neutral,bei + D,die,Die Bestellungen
sich beteiligen,شرکت کردن / مشارکت,to participate / participation,Alle Mitarbeiter sind an der Entwicklung des Projekts beteiligt.,همه کارمندان در توسعه پروژه مشارکت دارند.,Neutral,an + D,die,Die Beteiligungen
abhängen,وابسته بودن,to depend,Der Erfolg hängt von deiner Vorbereitung ab.,موفقیت به آمادگی شما بستگی دارد.,Neutral,von + D,,
Allergie,آلرژی,allergy,Sie ist allergisch gegen Nüsse und Erdnüsse.,او به آجیل و بادام زمینی آلرژی دارد.,Neutral,auf + A / gegen + A,die,Allergien
Alternative,جایگزین,alternative,Gibt es eine Alternative zu diesem teuren Medikament?,آیا جایگزینی برای این داروی گران قیمت وجود دارد؟,Neutral,zu + D,die,Alternativen
ändern,تغییر دادن,to change,Wir müssen noch etwas an dem Plan ändern.,ما باید هنوز چیزی را در طرح تغییر دهیم.,Neutral,an + D,,
anfangen,شروع کردن,to start,Wir fangen mit der Besprechung pünktlich an.,ما جلسه را دقیقاً سر وقت شروع می‌کنیم.,Neutral,mit + D / bei + D,,
Angst,ترس,fear,Viele Menschen haben Angst vor Spinnen.,بسیاری از مردم از عنکبوت می‌ترسند.,Neutral,vor + D,die,Ängste
anmelden,ثبت نام کردن,to register,Hast du dich schon für den Marathon angemeldet?,آیا قبلاً برای ماراتن ثبت نام کرده‌ای؟,Neutral,bei + D / für + A,,
anpassen,سازگار کردن,to adapt,Du musst dich an die neuen Arbeitszeiten anpassen.,شما باید خودتان را با ساعات کاری جدید سازگار کنید.,Neutral,an + A,,
Ansehen,اعتبار/احترام,reputation/esteem,Er ist bei seinen Kollegen sehr angesehen.,او در میان همکارانش بسیار محترم است.,Neutral,bei + D,das,
antworten,پاسخ دادن,to answer,Der Kundenservice hat schnell auf meine E-Mail geantwortet.,خدمات مشتری به سرعت به ایمیل من پاسخ داد.,Neutral,auf + A,,
Anwesenheit,حضور,presence,Ihre Anwesenheit bei der Zeremonie ist erwünscht.,حضور شما در مراسم مورد نظر است.,Neutral,bei + D,die,
arbeiten,کار کردن,to work,Mein Bruder arbeitet seit fünf Jahren bei dieser Firma.,برادر من پنج سال است که در این شرکت کار می‌کند.,Neutral,an + D / bei + D,,
ärgern,عصبانی شدن,to get annoyed,Er ärgert sich oft über den lauten Nachbarn.,او اغلب از دست همسایه پر سر و صدا عصبانی می‌شود.,Neutral,über + A,,
sich aufregen,عصبانی شدن,to get upset,Er regt sich immer über Kleinigkeiten auf.,او همیشه به خاطر مسائل کوچک عصبانی می‌شود.,Neutral,über + A,,
ausbrechen,فرار کردن / شیوع پیدا کردن,to break out,Die Grippe ist unerwartet aus der Region ausgebrochen.,آنفولانزا به طور غیرمنتظره‌ای از منطقه شیوع پیدا کرد.,Neutral,aus + D,,
äußern,ابراز کردن,to express,Er äußerte sich kritisch über die neue Gesetzgebung.,او درباره قانونگذاری جدید انتقادی ابراز کرد.,Neutral,über + A,,
ausgeben,خرج کردن,to spend,Sie gibt viel Geld für neue Bücher aus.,او پول زیادی برای کتاب‌های جدید خرج می‌کند.,Neutral,für + A,,
sich ausruhen,استراحت کردن,to rest,Nach dem langen Flug muss ich mich erst einmal von der Reise ausruhen.,بعد از پرواز طولانی، ابتدا باید از سفر استراحت کنم.,Neutral,von + D,,
sich austauschen,تبادل نظر کردن,to exchange ideas,Er tauscht sich regelmäßig mit Kollegen über die neuesten Forschungsergebnisse aus.,او به طور منظم با همکاران درباره آخرین نتایج تحقیقات تبادل نظر می‌کند.,Neutral,mit + D / über + A,,
sich auszeichnen,برجسته بودن / متمایز شدن,to distinguish oneself,Die Firma zeichnet sich durch ihre hohe Innovationskraft aus.,این شرکت به دلیل توانایی نوآوری بالای خود متمایز است.,Neutral,durch + A,,
basieren,بر پایه چیزی بودن,to be based on,Die Theorie basiert auf umfangreichen wissenschaftlichen Studien.,این نظریه بر اساس مطالعات علمی گسترده‌ای است.,Neutral,auf + D,,
sich bedanken,تشکر کردن,to thank,Ich möchte mich bei Ihnen für Ihre Hilfe bedanken.,می‌خواهم از شما به خاطر کمک‌هایتان تشکر کنم.,Neutral,für + A / bei + D,,
sich befassen,رسیدگی کردن به,to deal with,Die Kommission befasst sich mit der Reform des Bildungssystems.,کمیسیون به اصلاح نظام آموزشی رسیدگی می‌کند.,Neutral,mit + D,,
befreundet (sein),دوست بودن با,to be friends with,Sind Sie schon lange mit dieser Familie befreundet?,آیا مدت زیادی است که با این خانواده دوست هستید؟,Neutral,mit + D,,
sich begeistern,مشتاق بودن / به هیجان آمدن,to be enthusiastic about,Sie begeistert sich sehr für klassische Musik.,او برای موسیقی کلاسیک بسیار مشتاق است.,Neutral,für + A,,
begeistert,مشتاق,enthusiastic,Er ist begeistert von dem neuen Projekt.,او از پروژه جدید مشتاق است.,Neutral,von + D,,
beginnen,شروع کردن,to begin,Wir sollten den Beginn mit der Präsentation festlegen.,ما باید آغاز کار را با ارائه مشخص کنیم.,Neutral,mit + D,der,
behandeln,درمان کردن,to treat,Die Ärztin beginnt die Behandlung mit einer neuen Methode.,پزشک درمان را با یک روش جدید شروع می‌کند.,Neutral,mit + D,die,
beitragen,مشارکت کردن,to contribute,Jeder Student muss einen Beitrag zu der Diskussion leisten.,هر دانشجو باید سهمی در بحث داشته باشد.,Neutral,zu + D,der,Beiträge
bekannt,معروف,known,Die Stadt ist bekannt für ihre wunderschönen Gärten.,این شهر به خاطر باغ‌های زیبایش معروف است.,Neutral,für + A,,
bekannt,آشنا,acquainted,Bist du mit dem neuen Kollegen bekannt?,آیا شما با همکار جدید آشنا هستید؟,Neutral,mit + D,die,Bekanntschaften
sich beklagen,شکایت کردن,to complain,Er hat eine Klage über den Lärm eingereicht.,او شکایتی در مورد سر و صدا ثبت کرد.,Neutral,über + A,die,Klagen
sich bemühen,تلاش کردن,to strive,Sie ist sehr bemüht um eine schnelle Lösung.,او برای یافتن یک راه‌حل سریع بسیار کوشا است.,Neutral,um + A,die,Bemühungen
bereit,آماده,ready,Die Mannschaft ist bereit zu großen Anstrengungen.,تیم آماده برای تلاش‌های بزرگ است.,Neutral,zu + D,die,
berichten,گزارش دادن,to report,Der Journalist muss über die politischen Ereignisse berichten.,روزنامه‌نگار باید در مورد رویدادهای سیاسی گزارش دهد.,Neutral,über + A,der,Berichte
berühmt,مشهور,famous,Die Stadt ist berühmt für ihre historische Architektur.,این شهر به خاطر معماری تاریخی‌اش مشهور است.,Neutral,für + A,die,
sich beschäftigen,مشغول بودن,to occupy oneself,Ich beschäftige mich mit der Vorbereitung des Meetings.,من مشغول آماده‌سازی جلسه هستم.,Neutral,mit + D,die,Beschäftigungen
sich beschweren,شکایت کردن,to complain,Der Kunde hat sich über den schlechten Service beschwert.,مشتری از خدمات ضعیف شکایت کرد.,Neutral,über + A,die,Beschwerden
bestellen,سفارش دادن,to order,Die Lieferung wurde direkt bei dem Hersteller bestellt.,تحویل مستقیماً از تولید کننده سفارش داده شد.,Neutral,bei + D,die,Bestellungen
sich beteiligen,مشارکت کردن,to participate,Wir sind an der Finanzierung des Projekts beteiligt.,ما در تامین مالی پروژه مشارکت داریم.,Neutral,an + D,die,Beteiligungen
bewerben,درخواست دادن,apply (for),Ich bewerbe mich für diese Stelle.,من برای این شغل درخواست می‌دهم.,Neutral,für + A,die,Bewerbungen
beziehen,ارجاع دادن,refer (to),Die Statistik bezieht sich auf das letzte Quartal.,آمار به سه ماهه گذشته اشاره دارد.,Neutral,auf + A,der,Bezüge
denken,فکر کردن,think (about),Ich denke oft an meinen Urlaub am Meer.,من اغلب به تعطیلاتم در کنار دریا فکر می‌کنم.,Neutral,an + A,der,Gedanken
demonstrieren,تظاهرات کردن,demonstrate,Tausende demonstrierten gegen die neue Gesetzesänderung.,هزاران نفر علیه تغییر قانون جدید تظاهرات کردند.,Neutral,gegen + A,die,Demonstrationen
diskutieren,بحث کردن,discuss,Wir müssen dringend über die Kosten sprechen.,ما باید فوراً در مورد هزینه‌ها بحث کنیم.,Neutral,über + A,die,Diskussionen
eignen,مناسب بودن,be suitable/fit,Dieses Material eignet sich gut für den Bau von Möbeln.,این ماده برای ساخت مبلمان مناسب است.,Red,für + A,die,Eignungen
einladen,دعوت کردن,invite,Er hat mich zu seinem Geburtstag eingeladen.,او مرا به جشن تولدش دعوت کرده است.,Neutral,zu + D,die,Einladungen
Einstellung,نگرش، دیدگاه,attitude (towards),Seine positive Einstellung zu seiner Arbeit ist bewundernswert.,نگرش مثبت او نسبت به کارش قابل تحسین است.,Neutral,zu + D,die,Einstellungen
einverstanden,موافق بودن,agree (with),Ich bin mit dem neuen Plan des Teams vollkommen einverstanden.,من کاملاً با برنامه جدید تیم موافق هستم.,Neutral,mit + D,das,Einverständnisse
einziehen,نقل مکان کردن,move in,Sie werden nächste Woche in die neue Wohnung einziehen.,آنها هفته آینده به آپارتمان جدید نقل مکان خواهند کرد.,Neutral,in + A,der,Einzüge
empören,خشمگین شدن,to be indignant,Wir empören uns über die Ungerechtigkeit der Entscheidung.,ما از بی‌عدالتی این تصمیم خشمگین شدیم.,Neutral,über + A,die,Empörungen
engagieren,متعهد شدن,to get involved,Er engagiert sich stark für den Umweltschutz.,او به شدت برای حفاظت از محیط زیست متعهد است.,Neutral,für + A,das,Engagements
entfernen,دور شدن,to move away,Bitte entfernen Sie die Dokumente von Ihrem Arbeitsplatz.,لطفاً اسناد را از محل کار خود دور کنید.,Neutral,von + D,die,Entfernungen
entscheiden,تصمیم گرفتن,to decide,Sie hat sich für das Studium in Berlin entschieden.,او برای تحصیل در برلین تصمیم گرفت.,Neutral,für + A,die,Entscheidungen
entscheiden,تصمیم گرفتن,to decide,Der Verein entschied sich gegen eine Fusion mit dem Konkurrenten.,این باشگاه علیه ادغام با رقیب تصمیم گرفت.,Neutral,gegen + A,die,Entscheidungen
entscheiden,تصمیم گرفتن,to decide,Wir müssen uns zwischen der blauen und der roten Option entscheiden.,ما باید بین گزینه آبی و قرمز تصمیم بگیریم.,Neutral,zwischen + D,die,Entscheidungen
entschuldigen,عذرخواهی کردن,to apologize,Sie entschuldigte sich für die Verspätung.,او برای تأخیر عذرخواهی کرد.,Neutral,für + A,die,Entschuldigungen
entschuldigen,عذرخواهی کردن,to apologize,Ich muss mich bei meinem Chef entschuldigen.,من باید از رئیسم عذرخواهی کنم.,Neutral,bei + D,die,Entschuldigungen
enttäuschen,ناامید شدن,to disappoint/disappointed,Er war enttäuscht von dem Ergebnis der Verhandlung.,او از نتیجه مذاکره ناامید شده بود.,Neutral,von + D,die,Enttäuschungen
Enttäuschung,ناامیدی,disappointment,Die Enttäuschung über die schlechte Note war groß.,ناامیدی از نمره بد زیاد بود.,Neutral,über + A,die,Enttäuschungen
entwickeln,توسعه یافتن,to develop,Die Stadt entwickelt sich zu einem wichtigen Wirtschaftsstandort.,این شهر در حال توسعه به یک مرکز اقتصادی مهم است.,Neutral,zu + D,die,Entwicklungen
Erfahrung,تجربه,experience,Er hat viel Erfahrung mit komplexen IT-Projekten.,او تجربه زیادی با پروژه‌های پیچیده آی‌تی دارد.,Neutral,mit + D,die,Erfahrungen
erhoffen,امید داشتن,to hope for,Was erhoffst du dir von diesem neuen Job?,از این شغل جدید چه امیدی داری؟,Neutral,von + D,die,Erhoffungen
erholen,بهبود یافتن,to recover,Er muss sich von der schweren Operation erholen.,او باید از عمل جراحی سنگین بهبود یابد.,Neutral,von + D,die,Erholungen
erinnern,به یاد آوردن,to remember,Ich erinnere mich gerne an unsere Reise.,من با علاقه سفرمان را به یاد می‌آورم.,Neutral,an + A,die,Erinnerungen
erkundigen,پرس‌وجو کردن,to inquire,Er erkundigte sich nach dem Weg zum Bahnhof.,او در مورد مسیر ایستگاه قطار پرس‌وجو کرد.,Neutral,nach + D,die,Erkundigungen
erkundigen,پرس‌وجو کردن,to inquire,Wir müssen uns über das neue Gesetz erkundigen.,ما باید در مورد قانون جدید پرس‌وجو کنیم.,Neutral,über + D,die,Erkundigungen
erschrecken,ترساندن / ترسیدن,to scare / to be scared,Das Kind ist vor dem lauten Knall erschrocken.,بچه از صدای بلند مبهوت شد.,Neutral,vor + D,,
erzählen,تعریف کردن,to tell,Sie erzählte uns von ihrem Urlaub in den Bergen.,او برای ما از تعطیلاتش در کوهستان تعریف کرد.,Neutral,von + D,,
die Fähigkeit,توانایی,ability,Er ist fähig zu großen Leistungen.,او توانایی انجام کارهای بزرگ را دارد.,Neutral,zu + D,die,Fähigkeiten
forschen,تحقیق کردن,to research,Die Wissenschaftler forschen an einer neuen Heilmethode.,دانشمندان در حال تحقیق بر روی یک روش درمانی جدید هستند.,Neutral,an + D,,
fragen,پرسیدن / سوال,to ask / question,Ich fragte ihn nach dem Weg zum Bahnhof.,من از او در مورد مسیر ایستگاه قطار پرسیدم.,Neutral,nach + D,,
sich freuen,خوشحال بودن (برای آینده),to look forward to,Wir freuen uns auf das Wochenende.,ما مشتاقانه منتظر آخر هفته هستیم.,Neutral,auf + A,,
sich freuen,خوشحال بودن (از چیزی),to be happy about,Sie freute sich über das Geschenk.,او از هدیه خوشحال شد.,Neutral,über + A,,
sich freuen,لذت بردن از,to enjoy,Er findet Freude an der Arbeit im Garten.,او از کار در باغ لذت می‌برد.,Neutral,an + D,,
freundlich,دوستانه / مهربان,friendly,Sei immer freundlich zu deinen Nachbarn.,همیشه با همسایگانت مهربان باش.,Neutral,zu + D,,
die Freundschaft,دوستی,friendship,Sie ist mit ihrem Kollegen befreundet.,او با همکارش دوست است.,Neutral,mit + D,die,Freundschaften
froh,شاد / خوشحال,glad / happy,Wir sind froh über die gute Nachricht.,ما از خبر خوب خوشحالیم.,Neutral,über + A,,
gefallen,دوست داشتن / جلب رضایت کردن,to like / favour,Er fand Gefallen an dem neuen Hobby.,او از سرگرمی جدید خوشش آمد.,Neutral,an + D,,
gelten,معتبر بودن / به رسمیت شناخته شدن,to be valid / apply to,Dieses Gesetz gilt nur für das Stadtgebiet.,این قانون فقط برای محدوده شهری معتبر است.,Neutral,für + A,,
gewinnen,به دست آوردن / سود,to gain / win,Durch Übung gewinnt man an Sicherheit.,از طریق تمرین، فرد اعتماد به نفس بیشتری کسب می‌کند.,Neutral,an + D,,
sich gewöhnen,عادت کردن,to get used to,Er hat sich schnell an das neue Klima gewöhnt.,او به سرعت به آب و هوای جدید عادت کرد.,Neutral,an + A,,
glauben,باور داشتن / اعتقاد,believe / belief,Wir glauben fest an den Erfolg unserer Strategie.,ما قویاً به موفقیت استراتژی خود اعتقاد داریم.,Neutral,an + A,der,die Glauben
glücklich,خوشحال,happy,Sie war glücklich über das unerwartete Geschenk.,او از هدیه غیرمنتظره خوشحال بود.,Neutral,über + A,,
gratulieren,تبریک گفتن / تبریک,congratulate / congratulation,Ich gratuliere dir herzlich zu deinem neuen Job.,من صمیمانه به خاطر شغل جدیدت به تو تبریک می‌گویم.,Neutral,zu + D,die,die Gratulationen
greifen,گرفتن / چنگ زدن,reach / grip,Der Patient greift nach der Hand des Arztes. Bei Schmerzen greife ich zu geeigneten Schmerzmitteln.,بیمار به سوی دست دکتر چنگ می‌زند.,Neutral,nach + D / zu + D,der,die Griffe
gut,خوب,good,Dieses Vitamin ist sehr gut für deine Gesundheit.,این ویتامین برای سلامتی تو بسیار خوب است.,Neutral,in + D / zu + D / für + A,,
handeln,درباره بودن / روایت کردن,deal with / be about,Das Buch handelt von der Geschichte des Mittelalters.,این کتاب درباره تاریخ قرون وسطی است.,Neutral,von + D,,
Handel,تجارت / داد و ستد,trade / commerce,Der internationale Handel mit Öl ist sehr komplex.,تجارت بین‌المللی با نفت بسیار پیچیده است.,Neutral,mit + D,der,die Handel
sich handeln,مربوط بودن / بحث در مورد,be a matter of / concern,Es handelt sich um eine sehr wichtige Entscheidung.,این در مورد یک تصمیم بسیار مهم است.,Neutral,um + A,,
helfen,کمک کردن / یاری,help / assistance,Kannst du mir bei den Hausaufgaben helfen?,آیا می‌توانی در انجام تکالیف خانه به من کمک کنی؟,Neutral,bei + D,die,die Hilfen
hinweisen,اشاره کردن / راهنمایی,point out / hint,Ich möchte Sie auf die neue Sicherheitsvorschrift hinweisen.,می‌خواهم به مقررات ایمنی جدید به شما اشاره کنم.,Neutral,auf + A,der,die Hinweise
hoffen,امیدوار بودن / امید,hope,Wir hoffen auf eine schnelle Lösung des Problems.,ما به یک راه‌حل سریع برای مشکل امیدواریم.,Neutral,auf + A,die,die Hoffnungen
sich identifizieren,همذات پنداری کردن / شناسایی,identify oneself / identification,Er identifiziert sich stark mit den Zielen des Unternehmens.,او قویاً با اهداف شرکت همذات پنداری می‌کند.,Neutral,mit + D,die,die Identifikationen
sich informieren,مطلع شدن / اطلاعات,inform oneself / information,Informiere dich bitte über die neuen Öffnungszeiten.,لطفاً در مورد ساعت‌های جدید بازگشایی مطلع شو.,Neutral,über + A / bei + D,die,die Informationen
sich interessieren,علاقه‌مند بودن / علاقه,be interested / interest,Ich interessiere mich sehr für klassische Musik.,من بسیار به موسیقی کلاسیک علاقه‌مندم.,Neutral,für + A,das,die Interessen
Interesse / interessieren,علاقه / علاقه‌مند بودن,Interest / to be interested,Ich interessiere mich an der klassischen Musik.,من به موسیقی کلاسیک بسیار علاقه دارم.,Neutral,an + D,das,die Interessen
investieren / Investition,سرمایه‌گذاری کردن / سرمایه‌گذاری,To invest / Investment,Die Firma investiert viel Geld in neue Technologien.,شرکت پول زیادی را در فناوری‌های جدید سرمایه‌گذاری می‌کند.,Neutral,in + A,die,die Investitionen
kämpfen / Kampf,جنگیدن / مبارزه,To fight / Fight,Die Aktivisten kämpfen für bessere Arbeitsbedingungen.,فعالان برای شرایط کاری بهتر می‌جنگند.,Neutral,für + A,der,die Kämpfe
kämpfen / Kampf,جنگیدن / مبارزه,To fight / Fight,Sie kämpft gegen Ungerechtigkeit in der Gesellschaft.,او علیه بی‌عدالتی در جامعه می‌جنگد.,Neutral,gegen + A,der,die Kämpfe
kämpfen / Kampf,جنگیدن / مبارزه,To fight / Fight,Der Ritter kämpfte mutig mit seinem Schwert.,شوالیه شجاعانه با شمشیر خود جنگید.,Neutral,mit + D,der,die Kämpfe
kämpfen / Kampf,جنگیدن / مبارزه,To fight / Fight,Die beiden Mannschaften kämpfen um den Pokal.,دو تیم برای جام می‌جنگند.,Neutral,um + A,der,die Kämpfe
klagen / Klage,شکایت کردن / شکایت,To complain / Complaint,Die Bürger klagen über den Lärm der Baustelle.,شهروندان از سر و صدای کارگاه ساختمانی شکایت می‌کنند.,Neutral,über + A,die,die Klagen
kommunizieren / Kommunikation,ارتباط برقرار کردن / ارتباط,To communicate / Communication,Er kommuniziert täglich mit seinem Team.,او روزانه با تیم خود ارتباط برقرار می‌کند.,Neutral,mit + D,die,-
kommunizieren / Kommunikation,ارتباط برقرار کردن / ارتباط,To communicate / Communication,Wir kommunizieren über die neuesten Entwicklungen.,ما در مورد آخرین تحولات ارتباط برقرار می‌کنیم.,Neutral,über + A,die,-
sich konfrontieren / Konfrontation,مواجه شدن / رویارویی,To confront oneself / Confrontation,Er musste sich mit der Wahrheit konfrontieren.,او مجبور بود با حقیقت روبه‌رو شود.,Neutral,mit + D,die,die Konfrontationen
sich konzentrieren / Konzentration,تمرکز کردن / تمرکز,To concentrate / Concentration,Die Studenten konzentrieren sich auf die bevorstehenden Prüfungen.,دانشجویان روی امتحانات پیش رو تمرکز می‌کنند.,Neutral,auf + A,die,-
sich melden,-,To report / To contact,Bitte melden Sie sich bei der Personalabteilung.,لطفاً با بخش منابع انسانی تماس بگیرید.,Neutral,bei + D,-,-
sich messen,-,To compete / To measure oneself,Der Sportler misst sich mit den besten Läufern der Welt.,ورزشکار با بهترین دوندگان جهان رقابت می‌کند.,Neutral,mit + D,-,-
nachfragen / Nachfrage,پرس و جو کردن / تقاضا,To inquire / Demand,Wir müssen bei unserem Lieferanten nachfragen.,ما باید از تامین کننده خود پرس و جو کنیم.,Neutral,bei + D,die,die Nachfragen
nett,-,Nice / Kind,Sei immer nett zu deinen Mitmenschen.,همیشه نسبت به اطرافیانت مهربان باش.,Neutral,zu + D,-,-
